subset,eff,descriptor,spearman,p,n
all,eff_raw,linear_r2,0.273,0.391,12
all,eff_raw,knn_r2,0.399,0.199,12
all,eff_raw,local_y_cv,-0.21,0.513,12
all,eff_raw,snr,0.287,0.366,12
all,eff_raw,intrinsic_dim,-0.137,0.672,12
all,eff_raw,pca_pr,0.123,0.704,12
all,eff_raw,feat_corr,0.06,0.854,12
all,eff_raw,target_mi_max,0.231,0.471,12
all,eff_raw,uniq_y_frac,-0.491,0.105,12
all,eff_raw,n,0.039,0.905,12
all,eff_raw,d,0.141,0.663,12
all,eff_norm,linear_r2,0.301,0.342,12
all,eff_norm,knn_r2,0.371,0.236,12
all,eff_norm,local_y_cv,-0.301,0.342,12
all,eff_norm,snr,0.273,0.391,12
all,eff_norm,intrinsic_dim,-0.406,0.19,12
all,eff_norm,pca_pr,-0.112,0.729,12
all,eff_norm,feat_corr,0.196,0.541,12
all,eff_norm,target_mi_max,0.28,0.379,12
all,eff_norm,uniq_y_frac,-0.628,0.029,12
all,eff_norm,n,0.392,0.207,12
all,eff_norm,d,0.018,0.957,12
all,eff_winrate,linear_r2,0.226,0.48,12
all,eff_winrate,knn_r2,0.265,0.406,12
all,eff_winrate,local_y_cv,-0.183,0.568,12
all,eff_winrate,snr,0.155,0.63,12
all,eff_winrate,intrinsic_dim,-0.459,0.133,12
all,eff_winrate,pca_pr,0.0,1.0,12
all,eff_winrate,feat_corr,0.021,0.948,12
all,eff_winrate,target_mi_max,0.123,0.702,12
all,eff_winrate,uniq_y_frac,-0.619,0.032,12
all,eff_winrate,n,0.311,0.325,12
all,eff_winrate,d,-0.117,0.717,12
all,eff_vs_teacher,linear_r2,0.021,0.948,12
all,eff_vs_teacher,knn_r2,0.0,1.0,12
all,eff_vs_teacher,local_y_cv,0.203,0.527,12
all,eff_vs_teacher,snr,0.049,0.88,12
all,eff_vs_teacher,intrinsic_dim,-0.119,0.712,12
all,eff_vs_teacher,pca_pr,-0.035,0.914,12
all,eff_vs_teacher,feat_corr,-0.294,0.353,12
all,eff_vs_teacher,target_mi_max,0.056,0.863,12
all,eff_vs_teacher,uniq_y_frac,0.091,0.778,12
all,eff_vs_teacher,n,0.07,0.829,12
all,eff_vs_teacher,d,-0.587,0.045,12
all,eff_beat_m100,linear_r2,0.217,0.499,12
all,eff_beat_m100,knn_r2,0.385,0.217,12
all,eff_beat_m100,local_y_cv,-0.21,0.513,12
all,eff_beat_m100,snr,0.301,0.342,12
all,eff_beat_m100,intrinsic_dim,0.095,0.77,12
all,eff_beat_m100,pca_pr,0.2,0.534,12
all,eff_beat_m100,feat_corr,0.039,0.905,12
all,eff_beat_m100,target_mi_max,0.231,0.471,12
all,eff_beat_m100,uniq_y_frac,-0.554,0.061,12
all,eff_beat_m100,n,0.144,0.656,12
all,eff_beat_m100,d,0.38,0.224,12
n>=100,eff_raw,linear_r2,0.042,0.907,10
n>=100,eff_raw,knn_r2,0.091,0.803,10
n>=100,eff_raw,local_y_cv,0.127,0.726,10
n>=100,eff_raw,snr,0.018,0.96,10
n>=100,eff_raw,intrinsic_dim,-0.34,0.336,10
n>=100,eff_raw,pca_pr,0.085,0.815,10
n>=100,eff_raw,feat_corr,0.024,0.947,10
n>=100,eff_raw,target_mi_max,0.042,0.907,10
n>=100,eff_raw,uniq_y_frac,-0.401,0.25,10
n>=100,eff_raw,n,-0.219,0.544,10
n>=100,eff_raw,d,0.128,0.724,10
n>=100,eff_norm,linear_r2,0.103,0.777,10
n>=100,eff_norm,knn_r2,0.236,0.511,10
n>=100,eff_norm,local_y_cv,-0.079,0.829,10
n>=100,eff_norm,snr,0.139,0.701,10
n>=100,eff_norm,intrinsic_dim,-0.444,0.199,10
n>=100,eff_norm,pca_pr,-0.188,0.602,10
n>=100,eff_norm,feat_corr,0.201,0.578,10
n>=100,eff_norm,target_mi_max,0.224,0.533,10
n>=100,eff_norm,uniq_y_frac,-0.395,0.258,10
n>=100,eff_norm,n,0.043,0.907,10
n>=100,eff_norm,d,0.098,0.788,10
n>=100,eff_winrate,linear_r2,-0.049,0.893,10
n>=100,eff_winrate,knn_r2,0.0,1.0,10
n>=100,eff_winrate,local_y_cv,0.159,0.661,10
n>=100,eff_winrate,snr,-0.11,0.762,10
n>=100,eff_winrate,intrinsic_dim,-0.525,0.12,10
n>=100,eff_winrate,pca_pr,0.028,0.94,10
n>=100,eff_winrate,feat_corr,0.009,0.98,10
n>=100,eff_winrate,target_mi_max,-0.049,0.893,10
n>=100,eff_winrate,uniq_y_frac,-0.383,0.274,10
n>=100,eff_winrate,n,-0.058,0.873,10
n>=100,eff_winrate,d,-0.056,0.879,10
n>=100,eff_vs_teacher,linear_r2,-0.115,0.751,10
n>=100,eff_vs_teacher,knn_r2,-0.006,0.987,10
n>=100,eff_vs_teacher,local_y_cv,0.297,0.405,10
n>=100,eff_vs_teacher,snr,0.006,0.987,10
n>=100,eff_vs_teacher,intrinsic_dim,-0.103,0.776,10
n>=100,eff_vs_teacher,pca_pr,0.067,0.854,10
n>=100,eff_vs_teacher,feat_corr,-0.274,0.444,10
n>=100,eff_vs_teacher,target_mi_max,-0.006,0.987,10
n>=100,eff_vs_teacher,uniq_y_frac,0.249,0.487,10
n>=100,eff_vs_teacher,n,-0.043,0.907,10
n>=100,eff_vs_teacher,d,-0.661,0.038,10
n>=100,eff_beat_m100,linear_r2,-0.055,0.881,10
n>=100,eff_beat_m100,knn_r2,0.067,0.855,10
n>=100,eff_beat_m100,local_y_cv,0.127,0.726,10
n>=100,eff_beat_m100,snr,0.042,0.907,10
n>=100,eff_beat_m100,intrinsic_dim,0.012,0.973,10
n>=100,eff_beat_m100,pca_pr,0.219,0.544,10
n>=100,eff_beat_m100,feat_corr,-0.012,0.973,10
n>=100,eff_beat_m100,target_mi_max,0.042,0.907,10
n>=100,eff_beat_m100,uniq_y_frac,-0.511,0.132,10
n>=100,eff_beat_m100,n,-0.036,0.92,10
n>=100,eff_beat_m100,d,0.544,0.104,10
