dataset,method,n,mean_impr,impr_t,impr_std,mean_gain_vs_uniform,gain_t
ccpp,uniform,6,0.35958,2.57,0.34223,0.0,-
ccpp,force_ii,6,0.25065,1.39,0.44019,-0.10893,-0.83
ccpp,force_ii_tmag,6,0.43073,3.52,0.30005,0.07116,0.74
ccpp,teacher_sign_tmag,6,0.3669,2.72,0.33096,0.00733,0.07
ccpp,sameside_tmag,6,0.39227,3.54,0.27167,0.03269,0.3
airquality,uniform,6,0.07763,1.02,0.18605,0.0,-
airquality,force_ii,6,0.17536,2.33,0.18471,0.09773,2.27
airquality,force_ii_tmag,6,-0.14007,-1.3,0.26312,-0.2177,-2.21
airquality,teacher_sign_tmag,6,0.10741,1.07,0.24551,0.02978,0.38
airquality,sameside_tmag,6,0.07172,1.05,0.16791,-0.00591,-0.09
california,uniform,6,-0.01336,-3.01,0.01085,0.0,-
california,force_ii,6,-0.01451,-7.58,0.00469,-0.00115,-0.28
california,force_ii_tmag,6,-0.01737,-3.47,0.01225,-0.00401,-0.49
california,teacher_sign_tmag,6,-0.01854,-4.42,0.01027,-0.00518,-1.16
california,sameside_tmag,6,-0.02888,-5.18,0.01366,-0.01552,-2.08
energy,uniform,6,-0.06158,-1.12,0.13411,0.0,-
energy,force_ii,6,-0.23671,-4.53,0.1281,-0.17513,-2.86
energy,force_ii_tmag,6,-0.11555,-1.71,0.16587,-0.05397,-0.82
energy,teacher_sign_tmag,6,-0.15148,-3.37,0.1101,-0.0899,-1.32
energy,sameside_tmag,6,-0.01342,-0.51,0.06449,0.04816,1.18
