seed,spacing,hole_dist,in_hole,err_unguided,err_M20,err_force_ii,err_teacher_sign_tmag,benefit_force_ii,benefit_teacher_sign_tmag
42,0.578292,1.045644,0,3.2304,2.189,3.0653,2.2017,0.1651,1.0287
42,0.305144,0.689578,0,1.3344,1.2963,2.2361,2.0583,-0.9017,-0.7239
42,0.618171,1.065898,0,0.8589,0.1858,0.7159,0.7954,0.143,0.0635
42,0.315594,1.314914,0,0.2151,0.2024,0.8882,0.3294,-0.6731,-0.1143
42,0.364764,1.151586,0,1.4437,1.5072,1.5199,0.3261,-0.0762,1.1176
42,0.217981,0.731716,0,0.9979,0.5026,1.5313,1.4297,-0.5334,-0.4318
42,1.254162,0.584815,1,2.7084,1.8575,3.6101,3.6228,-0.9017,-0.9144
42,0.502733,0.866158,0,2.4277,1.7038,1.3736,2.0467,1.0541,0.381
42,0.235856,1.156609,0,1.1966,0.5362,0.9934,1.9078,0.2032,-0.7112
42,0.549748,0.813881,0,1.1662,0.1927,1.2297,1.5091,-0.0635,-0.3429
42,1.049581,0.696396,1,3.3152,2.3627,1.969,2.4008,1.3462,0.9144
42,0.693953,0.510849,1,0.4791,1.1719,0.1997,0.4156,0.2794,0.0635
42,0.482344,1.095522,0,0.7171,0.1338,1.8855,3.3587,-1.1684,-2.6416
42,0.964711,0.485447,1,1.3213,1.9436,2.8961,3.0358,-1.5748,-1.7145
42,0.573913,0.474856,1,0.8081,0.6524,0.6176,0.6938,0.1905,0.1143
42,0.28392,1.495257,0,0.9435,1.134,0.5498,0.8292,0.3937,0.1143
42,0.873642,0.782527,1,0.2787,2.02,1.8535,0.2547,-1.5748,0.024
42,0.369243,1.397035,0,0.1107,0.6132,0.6767,0.9489,-0.566,-0.8382
42,0.391309,1.061848,0,1.7074,1.1105,0.1468,0.3373,1.5606,1.3701
42,0.731472,1.062695,0,3.6405,2.9039,2.8785,3.5643,0.762,0.0762
42,0.37615,1.64949,0,0.6474,0.1781,0.4321,0.6982,0.2153,-0.0508
42,0.481792,2.029603,0,0.0445,0.3747,0.2222,0.4127,-0.1777,-0.3682
42,0.341335,1.201314,0,0.0316,1.3524,0.6412,1.5683,-0.6096,-1.5367
42,0.353021,0.945274,0,0.6147,0.6909,1.0592,0.3607,-0.4445,0.254
42,1.021547,0.586231,1,2.7626,0.9211,1.3656,0.0448,1.397,2.7178
42,0.36903,0.560403,0,0.2639,0.1044,0.1933,1.7681,0.0706,-1.5042
42,0.522276,1.316318,0,1.9763,1.1254,1.4429,1.1889,0.5334,0.7874
