dataset,bucket,n,spacing_mean,hole_dist_mean,err_unguided,err_M20,err_force_ii,err_teacher_sign_tmag,benefit_force_ii,benefit_teacher_sign_tmag
airquality,0,833,0.2492,1.1157,1.0665,1.0253,0.8605,0.9658,0.206,0.1007
airquality,1,831,0.349,1.1236,1.1874,1.1607,0.9409,1.0554,0.2465,0.132
airquality,2,834,0.4128,1.0782,1.1524,1.1349,0.9458,1.0334,0.2066,0.119
airquality,3,834,0.4682,1.0881,1.1718,1.1535,0.9834,1.0745,0.1884,0.0973
airquality,4,832,0.5297,1.0983,1.3137,1.2726,1.0074,1.1509,0.3063,0.1629
airquality,5,836,0.5934,1.1145,1.24,1.2469,1.0841,1.2027,0.1559,0.0374
airquality,6,834,0.678,1.0143,1.3116,1.2817,1.0775,1.2088,0.2341,0.1028
airquality,7,833,0.7998,1.0267,1.482,1.4265,1.3116,1.4154,0.1704,0.0666
airquality,8,833,0.9872,0.9235,1.5499,1.4004,1.2968,1.4063,0.2532,0.1437
airquality,9,834,1.4214,0.7705,1.7999,1.5844,1.7336,1.6172,0.0663,0.1827
