seed,spacing,hole_dist,in_hole,err_unguided,err_M20,err_force_ii,err_teacher_sign_tmag,benefit_force_ii,benefit_teacher_sign_tmag
42,0.445256,0.323936,1,0.657544,0.351993,0.813715,0.593524,-0.156171,0.06402
42,0.441313,0.471417,0,1.391437,1.138266,1.290557,1.467097,0.10088,-0.07566
42,0.21456,0.730513,0,1.126175,1.174675,1.096105,0.915684,0.03007,0.210491
42,0.719868,0.329703,1,0.800282,0.46854,0.743051,0.815802,0.05723,-0.01552
42,0.350634,0.666381,0,0.433921,0.535771,0.32528,0.27581,0.10864,0.158111
42,0.721673,0.467774,1,0.451588,0.342947,0.466138,0.404058,-0.01455,0.04753
42,0.150933,0.252809,0,0.68224,0.455259,0.68127,0.761781,0.00097,-0.07954
42,0.380051,0.211785,1,0.322937,0.111476,0.223997,0.535368,0.09894,-0.212431
42,0.266296,0.508856,0,0.86283,0.77359,1.078171,1.009301,-0.215341,-0.146471
42,0.258251,0.974257,0,0.132383,0.198343,0.136263,0.085868,-0.00388,0.046515
42,0.60747,0.520254,1,0.288547,0.492248,0.168266,0.110066,0.12028,0.178481
42,0.242957,0.364733,0,0.365582,0.490712,0.201651,0.03384,0.163931,0.331741
42,0.391732,1.388055,0,0.791415,0.911696,0.740975,0.606144,0.05044,0.185271
42,0.329719,0.603259,0,0.179022,0.357503,0.042252,0.131379,0.136771,0.047643
42,0.418079,0.275617,1,0.33723,0.207249,0.25963,0.27224,0.0776,0.06499
42,0.331119,2.111801,0,0.022785,0.032485,0.171216,0.178976,-0.148431,-0.156191
42,0.393292,0.640223,0,0.75026,0.612519,0.77839,0.87054,-0.02813,-0.12028
42,0.442396,0.73534,0,0.090553,0.309774,0.000627,0.032353,0.089926,0.0582
42,0.192186,0.351684,0,0.573658,0.254526,0.485387,0.517397,0.08827,0.05626
42,0.524882,0.229909,1,0.365586,0.533397,0.400507,0.179346,-0.03492,0.186241
42,0.311908,0.786062,0,0.633216,0.692386,0.661346,0.529425,-0.02813,0.10379
42,0.211407,0.466696,0,0.324755,0.509056,0.443096,0.295655,-0.11834,0.0291
42,0.751344,0.519519,1,0.317876,0.033265,0.309146,0.551647,0.00873,-0.233771
42,0.199908,1.496307,0,1.060214,1.241605,0.854574,0.894344,0.205641,0.165871
42,0.536515,0.293206,1,0.017944,0.373935,0.140165,0.094574,-0.122221,-0.07663
42,1.06767,0.313675,1,0.372223,0.069582,0.529364,0.479893,-0.157141,-0.10767
42,0.481695,0.211367,1,0.932019,0.625498,0.95045,1.16288,-0.01843,-0.230861
42,0.437423,1.050104,0,0.125797,0.160717,0.022613,0.080814,0.103184,0.044984
42,0.336515,0.417116,0,0.389444,0.502934,0.348704,0.404964,0.04074,-0.01552
42,0.390214,0.118677,1,0.268535,0.195785,0.318976,0.154075,-0.05044,0.11446
42,0.331185,0.283971,1,0.668636,0.494035,0.914047,0.783096,-0.245411,-0.11446
42,0.366095,0.564048,0,0.307656,0.466737,0.205806,0.198046,0.10185,0.10961
42,0.32946,0.628281,0,0.648068,0.841099,0.639338,0.867289,0.00873,-0.219221
42,0.30116,1.482494,0,1.029336,1.079776,1.028366,0.904205,0.00097,0.125131
42,0.165811,0.455046,0,0.485411,0.584352,0.279771,0.1236,0.205641,0.361811
42,0.594162,1.720479,0,0.10922,0.064411,0.09952,0.23144,0.0097,-0.122221
42,0.262068,0.833855,0,0.074487,0.446968,0.146267,0.056057,-0.07178,0.01843
42,0.296149,0.220727,1,0.216195,0.289916,0.032865,0.023165,0.183331,0.193031
42,0.406208,0.708613,0,0.442307,0.549008,0.377317,0.345307,0.06499,0.097
42,0.142415,0.355523,0,0.185865,0.300325,0.078195,0.233177,0.10767,-0.047312
42,0.36851,0.47895,0,0.374242,0.138531,0.253961,0.454752,0.12028,-0.08051
42,0.357642,0.301709,1,0.418695,0.051063,0.450705,0.559345,-0.03201,-0.140651
42,0.730949,0.465277,1,0.901696,0.568015,0.923036,1.019067,-0.02134,-0.11737
42,0.192588,0.45459,0,0.129679,0.31204,0.109309,0.158779,0.02037,-0.0291
