seed,spacing,hole_dist,in_hole,err_unguided,err_M20,err_force_ii,err_teacher_sign_tmag,benefit_force_ii,benefit_teacher_sign_tmag
42,0.19704,0.364482,0,2.6507,2.6809,1.3219,1.0337,1.3288,1.617
42,0.46956,0.101945,1,1.856,1.2067,0.4543,1.9013,1.4017,-0.0453
42,0.175493,0.217306,0,10.454,7.0263,7.5699,8.6873,2.8841,1.7667
42,0.671855,0.14213,1,0.054,0.7033,2.3643,0.0087,-2.3103,0.0453
42,0.771891,0.036985,1,6.0659,5.3864,9.1161,7.0474,-3.0502,-0.9815
42,0.167026,0.113394,1,0.6043,0.196,2.0684,0.3174,-1.4641,0.2869
42,0.038434,0.764285,0,3.7716,3.7414,1.265,1.8086,2.5066,1.963
42,0.18793,0.12045,1,2.8649,1.1586,0.1922,2.3666,2.6727,0.4983
42,0.06319,0.348175,0,0.9222,1.9619,1.6599,1.1336,-0.7377,-0.2114
42,0.061635,1.202657,0,6.348,5.6232,5.7138,3.6149,0.6342,2.7331
42,0.114548,0.86873,0,3.3564,0.3213,1.6501,1.1065,1.7063,2.2499
42,0.327699,0.570951,0,2.3529,2.4133,4.5424,2.5341,-2.1895,-0.1812
42,0.085149,0.244986,0,0.2286,1.3569,1.1497,1.1799,-0.9211,-0.9513
42,0.441754,0.059626,1,3.1713,0.4533,1.0718,2.0388,2.0995,1.1325
42,0.057868,1.32733,0,5.033,3.4777,6.0296,5.9541,-0.9966,-0.9211
42,0.069324,0.563537,0,3.8883,4.3111,3.0125,0.0226,0.8758,3.8657
42,0.221506,0.137371,1,0.847,1.8889,2.3721,3.1545,-1.5251,-2.3075
42,0.267265,0.318286,0,3.8819,4.9691,0.7562,3.0816,3.1257,0.8003
42,0.156243,0.279646,0,8.132,4.0852,6.7579,9.8383,1.3741,-1.7063
42,0.250539,0.214765,1,0.4408,1.5675,1.643,0.435,-1.2022,0.0058
42,0.129902,1.084721,0,6.0829,4.4974,7.2305,5.8715,-1.1476,0.2114
42,0.33806,0.39836,0,0.4152,0.7323,1.1401,0.1132,-0.7249,0.302
42,0.686499,0.073888,1,3.8542,2.9935,2.4499,5.4699,1.4043,-1.6157
42,0.313137,0.082552,1,1.5449,0.7899,1.5657,0.3728,-0.0208,1.1721
42,0.159143,0.458004,0,4.4612,3.374,3.6005,2.6643,0.8607,1.7969
42,0.04518,0.749818,0,2.6575,3.5333,4.0769,2.8387,-1.4194,-0.1812
42,0.102695,0.417587,0,4.3534,2.5112,2.9038,2.632,1.4496,1.7214
42,0.391329,0.108039,1,5.1969,3.3245,2.2222,4.4872,2.9747,0.7097
42,0.065364,0.804221,0,9.675,7.9083,7.1986,5.4923,2.4764,4.1827
42,0.112004,0.977248,0,6.4877,4.1925,7.0162,6.6085,-0.5285,-0.1208
42,0.076298,0.934913,0,1.4438,0.3229,0.489,2.3161,0.9548,-0.8723
42,0.285543,0.104647,1,2.7858,2.1818,0.6117,0.8228,2.1741,1.963
42,0.08124,0.843383,0,2.6478,3.5236,5.8943,3.9162,-3.2465,-1.2684
42,0.39567,0.163803,1,0.4702,0.9039,1.7797,0.4702,-1.3095,0.0
42,0.032597,1.294124,0,4.0527,4.8681,4.9436,4.7171,-0.8909,-0.6644
42,0.171731,0.387792,0,1.5447,2.2695,4.0815,2.6168,-2.5368,-1.0721
42,0.083667,0.257487,0,2.4356,0.5844,0.3518,1.6504,2.0838,0.7852
42,0.213153,1.003281,0,7.5451,4.4647,6.6995,5.4915,0.8456,2.0536
42,0.268843,0.058764,1,3.0592,3.9803,6.5322,4.8561,-3.473,-1.7969
42,0.940068,0.077978,1,5.6734,4.4201,3.1819,3.0007,2.4915,2.6727
42,0.077599,0.194962,0,0.1607,0.3527,0.2211,0.3117,-0.0604,-0.151
42,0.113953,0.322264,0,0.1979,2.2666,2.4025,1.0737,-2.2046,-0.8758
42,0.261888,0.212929,1,2.0743,2.6783,3.9316,1.4703,-1.8573,0.604
42,0.25654,0.090266,1,2.4701,3.3157,3.2402,1.1111,-0.7701,1.359
42,0.38366,0.129581,1,0.7166,0.3089,1.6226,0.7468,-0.906,-0.0302
42,0.158721,0.773475,0,0.3309,1.9341,1.5717,2.1606,-1.2408,-1.8297
42,0.167448,0.30489,0,2.1638,0.2461,0.7897,1.9373,1.3741,0.2265
42,0.2281,0.679912,0,1.96,0.8879,1.1053,0.6221,0.8547,1.3379
42,0.192881,0.254568,0,0.6326,1.0133,1.4814,0.3489,-0.8488,0.2837
42,0.175148,0.593966,0,4.5758,2.8091,5.9046,3.851,-1.3288,0.7248
42,0.034131,0.754362,0,0.8312,0.4084,1.9637,0.6637,-1.1325,0.1675
42,0.348301,0.044582,1,6.847,6.7413,6.4997,7.9493,0.3473,-1.1023
42,0.045727,0.430599,0,0.9901,2.8776,2.938,0.1143,-1.9479,0.8758
42,0.10406,0.548086,0,5.558,5.256,4.8785,5.1201,0.6795,0.4379
42,0.296543,1.118807,0,0.5733,0.3921,1.8417,0.1052,-1.2684,0.4681
42,0.122962,0.126866,0,10.974,8.9355,10.7626,9.7509,0.2114,1.2231
42,0.120522,0.292162,0,5.3647,5.3043,6.8294,3.5376,-1.4647,1.8271
42,0.262334,0.094593,1,8.3088,7.4934,7.9917,8.5051,0.3171,-0.1963
42,0.034667,0.614885,0,1.4423,2.9523,4.3264,3.1486,-2.8841,-1.7063
42,0.2681,0.161498,1,7.1087,4.8437,4.9343,1.5972,2.1744,5.5115
42,0.040049,1.123812,0,1.3583,1.4489,0.348,0.5292,1.0103,0.8291
42,0.094419,0.818605,0,5.3636,3.8989,1.7698,4.1254,3.5938,1.2382
42,0.23452,0.965135,0,8.7456,7.3262,5.4689,5.7558,3.2767,2.9898
42,0.071478,0.528321,0,6.2639,2.9419,3.5761,3.5459,2.6878,2.718
42,0.206644,0.565614,0,10.3762,8.7454,8.3075,9.0625,2.0687,1.3137
42,0.227973,0.94382,0,10.9056,9.4862,7.6289,7.9158,3.2767,2.9898
42,0.72407,0.099434,1,9.8542,8.9935,8.4499,11.4699,1.4043,-1.6157
42,0.197727,0.230429,0,2.4606,1.6617,3.1401,5.7675,-0.6795,-3.3069
42,0.091944,0.804423,0,6.8502,6.9257,5.5969,7.1522,1.2533,-0.302
42,0.188314,0.589766,0,1.1095,0.8686,0.9585,0.174,0.151,0.9355
42,0.522593,0.164832,1,6.0508,2.4872,2.5627,4.873,3.4881,1.1778
42,0.016004,0.064131,0,3.947,2.1048,0.7944,1.7726,3.1526,2.1744
42,0.581364,0.08693,1,7.2479,8.018,6.1456,3.1709,1.1023,4.077
42,0.265622,0.515417,0,7.8286,5.9109,3.2382,4.6576,4.5904,3.171
42,0.502642,0.136876,1,3.2612,3.7444,6.0396,5.5111,-2.7784,-2.2499
42,0.110603,0.252846,0,3.3604,1.3521,2.2581,0.6273,1.1023,2.7331
42,0.092141,0.133861,0,9.3782,10.1483,8.4571,10.3748,0.9211,-0.9966
42,0.282253,0.052302,1,4.3753,5.6135,6.5648,4.7528,-2.1895,-0.3775
42,0.18158,0.207265,0,9.5191,7.8279,9.2171,7.7222,0.302,1.7969
42,0.265229,0.906465,0,3.5223,3.5676,3.7186,1.9519,-0.1963,1.5704
42,0.215685,0.523898,0,5.6469,1.0867,2.8081,4.3332,2.8388,1.3137
42,0.073865,1.19361,0,3.4768,0.6078,2.9332,1.7101,0.5436,1.7667
42,0.169208,0.839688,0,1.9824,1.8163,3.7189,0.9707,-1.7365,1.0117
42,0.082553,0.392512,0,4.0975,3.418,0.9459,0.8402,3.1516,3.2573
42,0.434361,0.04315,1,1.976,1.3267,0.3343,2.0213,1.6417,-0.0453
42,0.138414,1.079194,0,1.3233,1.2327,1.9685,0.3116,-0.6452,1.0117
42,0.532119,0.082592,1,1.6497,0.2831,1.7705,3.4013,-0.1208,-1.7516
42,0.185781,0.056291,1,7.2539,6.6801,4.0376,7.2086,3.2163,0.0453
42,0.17041,0.151517,1,3.7426,1.1907,0.7981,3.954,2.9445,-0.2114
42,0.214216,0.569799,0,9.8368,6.1977,8.1758,6.9527,1.661,2.8841
42,0.093771,0.610478,0,7.2388,5.7439,6.7707,6.6046,0.4681,0.6342
42,0.128513,0.999165,0,2.7838,3.3425,4.2032,5.5471,-1.4194,-2.7633
42,0.074403,0.605083,0,8.0117,2.621,5.0974,4.1008,2.9143,3.9109
42,0.447067,0.064337,1,12.938,9.3744,9.4197,11.6545,3.5183,1.2835
42,0.075392,0.818304,0,3.2438,2.4133,2.0358,0.9033,1.208,2.3405
42,0.045832,0.278045,0,5.9612,5.2364,2.2919,3.3489,3.6693,2.6123
42,0.076964,0.386013,0,3.5456,6.1579,6.0824,4.0439,-2.5368,-0.4983
42,0.299718,0.146003,1,7.0965,3.6839,5.7979,6.0093,1.2986,1.0872
42,0.177425,0.083648,1,0.3191,2.0365,4.1354,0.9342,-3.8163,-0.6151
