dataset,bucket,n,spacing_mean,hole_dist_mean,err_unguided,err_M20,err_force_ii,err_teacher_sign_tmag,benefit_force_ii,benefit_teacher_sign_tmag
ccpp,0,1149,0.0395,0.6063,4.0913,3.7719,3.875,3.7012,0.2163,0.3901
ccpp,1,1146,0.0713,0.6022,4.0419,3.7838,3.9733,3.859,0.0686,0.1829
ccpp,2,1149,0.0945,0.5591,4.197,3.8507,3.9801,3.7633,0.2169,0.4337
ccpp,3,1147,0.1155,0.5133,4.075,3.8137,3.8436,3.8506,0.2314,0.2244
ccpp,4,1150,0.1389,0.5419,4.1339,3.761,3.8383,3.7363,0.2955,0.3976
ccpp,5,1147,0.167,0.5032,4.0752,3.8168,3.7677,3.6514,0.3076,0.4238
ccpp,6,1150,0.2019,0.4653,3.9457,3.6725,3.7702,3.7173,0.1755,0.2284
ccpp,7,1147,0.2584,0.4143,4.2554,3.987,4.0345,3.8853,0.2208,0.3701
ccpp,8,1150,0.3605,0.2442,4.3056,3.9532,3.9751,3.8971,0.3306,0.4086
ccpp,9,1149,0.6142,0.1488,4.5829,4.2664,4.0837,4.0778,0.4992,0.5051
