mode,eff,predictor,n,spearman,spearman_p,pearson
uniform,eff_raw,n,10,0.383,0.275,0.452
uniform,eff_raw,d,10,0.563,0.09,0.208
uniform,eff_raw,spread,10,0.176,0.626,-0.259
uniform,eff_raw,nn1_mean,10,0.152,0.675,-0.186
uniform,eff_raw,knn5_mean,10,0.055,0.881,-0.22
uniform,eff_raw,knn5_median,10,0.116,0.751,-0.284
uniform,eff_raw,het_global_cv,10,-0.225,0.532,-0.054
uniform,eff_raw,knn_cv_mean,10,-0.164,0.65,-0.181
uniform,eff_raw,norm_entropy,10,0.006,0.987,-0.282
uniform,eff_raw,min_pairwise,10,0.031,0.933,-0.132
uniform,eff_raw,spc_err_strength,10,0.321,0.365,0.587
uniform,eff_raw,spc_err_nn_k1,10,0.249,0.487,0.719
uniform,eff_raw,var_err_strength,10,0.358,0.31,0.772
uniform,eff_raw,teacher_edge,10,0.588,0.074,1.0
uniform,eff_norm,n,10,0.14,0.7,-0.062
uniform,eff_norm,d,10,0.336,0.342,-0.011
uniform,eff_norm,spread,10,0.188,0.602,0.121
uniform,eff_norm,nn1_mean,10,0.14,0.7,-0.164
uniform,eff_norm,knn5_mean,10,-0.006,0.987,-0.155
uniform,eff_norm,knn5_median,10,0.079,0.828,-0.09
uniform,eff_norm,het_global_cv,10,-0.48,0.16,-0.218
uniform,eff_norm,knn_cv_mean,10,0.14,0.7,-0.087
uniform,eff_norm,norm_entropy,10,0.176,0.626,0.28
uniform,eff_norm,min_pairwise,10,-0.043,0.906,-0.102
uniform,eff_norm,spc_err_strength,10,0.127,0.726,0.072
uniform,eff_norm,spc_err_nn_k1,10,-0.097,0.789,0.118
uniform,eff_norm,var_err_strength,10,0.115,0.751,-0.088
uniform,eff_norm,teacher_edge,10,0.418,0.229,-0.097
uniform,eff_winrate,n,10,-0.138,0.705,-0.121
uniform,eff_winrate,d,10,0.261,0.466,0.141
uniform,eff_winrate,spread,10,0.369,0.294,0.389
uniform,eff_winrate,nn1_mean,10,0.281,0.431,0.11
uniform,eff_winrate,knn5_mean,10,0.194,0.592,0.138
uniform,eff_winrate,knn5_median,10,0.219,0.544,0.185
uniform,eff_winrate,het_global_cv,10,-0.5,0.141,-0.328
uniform,eff_winrate,knn_cv_mean,10,0.219,0.544,-0.177
uniform,eff_winrate,norm_entropy,10,0.425,0.221,0.341
uniform,eff_winrate,min_pairwise,10,0.266,0.458,0.056
uniform,eff_winrate,spc_err_strength,10,0.218,0.545,0.15
uniform,eff_winrate,spc_err_nn_k1,10,0.266,0.458,0.197
uniform,eff_winrate,var_err_strength,10,0.293,0.411,0.111
uniform,eff_winrate,teacher_edge,10,0.312,0.381,0.0
uniform,beat_m00,n,10,0.188,0.602,-0.452
uniform,beat_m00,d,10,-0.073,0.84,-0.208
uniform,beat_m00,spread,10,-0.067,0.854,0.259
uniform,beat_m00,nn1_mean,10,-0.103,0.776,0.187
uniform,beat_m00,knn5_mean,10,-0.116,0.751,0.22
uniform,beat_m00,knn5_median,10,-0.079,0.828,0.284
uniform,beat_m00,het_global_cv,10,0.31,0.383,0.054
uniform,beat_m00,knn_cv_mean,10,0.602,0.066,0.181
uniform,beat_m00,norm_entropy,10,-0.407,0.243,0.282
uniform,beat_m00,min_pairwise,10,-0.388,0.268,0.132
uniform,beat_m00,spc_err_strength,10,-0.539,0.108,-0.587
uniform,beat_m00,spc_err_nn_k1,10,-0.036,0.92,-0.719
uniform,beat_m00,var_err_strength,10,-0.612,0.06,-0.772
uniform,beat_m00,teacher_edge,10,-0.818,0.004,-1.0
force_ii,eff_raw,n,10,-0.067,0.854,-0.452
force_ii,eff_raw,d,10,0.312,0.38,-0.208
force_ii,eff_raw,spread,10,0.347,0.327,0.259
force_ii,eff_raw,nn1_mean,10,0.213,0.555,0.187
force_ii,eff_raw,knn5_mean,10,0.128,0.725,0.22
force_ii,eff_raw,knn5_median,10,0.164,0.65,0.284
force_ii,eff_raw,het_global_cv,10,-0.201,0.578,0.054
force_ii,eff_raw,knn_cv_mean,10,0.067,0.854,0.181
force_ii,eff_raw,norm_entropy,10,0.116,0.751,0.282
force_ii,eff_raw,min_pairwise,10,0.129,0.722,0.132
force_ii,eff_raw,spc_err_strength,10,-0.152,0.676,-0.587
force_ii,eff_raw,spc_err_nn_k1,10,-0.201,0.578,-0.719
force_ii,eff_raw,var_err_strength,10,-0.285,0.425,-0.772
force_ii,eff_raw,teacher_edge,10,-0.067,0.855,-1.0
force_ii,eff_norm,n,10,0.322,0.364,0.149
force_ii,eff_norm,d,10,0.275,0.441,0.139
force_ii,eff_norm,spread,10,-0.018,0.96,0.004
force_ii,eff_norm,nn1_mean,10,-0.225,0.532,-0.347
force_ii,eff_norm,knn5_mean,10,-0.383,0.275,-0.293
force_ii,eff_norm,knn5_median,10,-0.298,0.403,-0.296
force_ii,eff_norm,het_global_cv,10,-0.03,0.934,0.015
force_ii,eff_norm,knn_cv_mean,10,0.432,0.213,0.071
force_ii,eff_norm,norm_entropy,10,-0.201,0.578,-0.163
force_ii,eff_norm,min_pairwise,10,-0.339,0.339,-0.76
force_ii,eff_norm,spc_err_strength,10,-0.03,0.934,0.217
force_ii,eff_norm,spc_err_nn_k1,10,0.164,0.65,0.408
force_ii,eff_norm,var_err_strength,10,-0.139,0.701,-0.131
force_ii,eff_norm,teacher_edge,10,0.055,0.881,-0.01
force_ii,eff_winrate,n,10,0.14,0.7,0.186
force_ii,eff_winrate,d,10,0.175,0.629,0.078
force_ii,eff_winrate,spread,10,0.109,0.765,0.133
force_ii,eff_winrate,nn1_mean,10,-0.034,0.925,-0.185
force_ii,eff_winrate,knn5_mean,10,-0.127,0.726,-0.089
force_ii,eff_winrate,knn5_median,10,-0.065,0.858,-0.065
force_ii,eff_winrate,het_global_cv,10,-0.121,0.739,0.017
force_ii,eff_winrate,knn_cv_mean,10,0.631,0.051,0.19
force_ii,eff_winrate,norm_entropy,10,-0.04,0.912,-0.046
force_ii,eff_winrate,min_pairwise,10,-0.299,0.402,-0.466
force_ii,eff_winrate,spc_err_strength,10,-0.173,0.632,-0.097
force_ii,eff_winrate,spc_err_nn_k1,10,0.146,0.687,0.076
force_ii,eff_winrate,var_err_strength,10,-0.223,0.536,-0.26
force_ii,eff_winrate,teacher_edge,10,-0.223,0.536,-0.214
force_ii,beat_m00,n,10,-0.061,0.868,-0.452
force_ii,beat_m00,d,10,0.202,0.576,-0.208
force_ii,beat_m00,spread,10,0.34,0.336,0.259
force_ii,beat_m00,nn1_mean,10,0.255,0.476,0.187
force_ii,beat_m00,knn5_mean,10,0.219,0.544,0.22
force_ii,beat_m00,knn5_median,10,0.267,0.455,0.284
force_ii,beat_m00,het_global_cv,10,0.024,0.947,0.054
force_ii,beat_m00,knn_cv_mean,10,0.486,0.154,0.181
force_ii,beat_m00,norm_entropy,10,-0.146,0.688,0.282
force_ii,beat_m00,min_pairwise,10,-0.135,0.709,0.132
force_ii,beat_m00,spc_err_strength,10,-0.224,0.533,-0.587
force_ii,beat_m00,spc_err_nn_k1,10,0.17,0.638,-0.719
force_ii,beat_m00,var_err_strength,10,-0.442,0.2,-0.772
force_ii,beat_m00,teacher_edge,10,-0.758,0.011,-1.0
force_ii_tmag,eff_raw,n,10,-0.012,0.973,-0.452
force_ii_tmag,eff_raw,d,10,0.061,0.867,-0.208
force_ii_tmag,eff_raw,spread,10,0.134,0.713,0.259
force_ii_tmag,eff_raw,nn1_mean,10,0.195,0.59,0.187
force_ii_tmag,eff_raw,knn5_mean,10,0.231,0.521,0.22
force_ii_tmag,eff_raw,knn5_median,10,0.207,0.567,0.284
force_ii_tmag,eff_raw,het_global_cv,10,-0.085,0.815,0.054
force_ii_tmag,eff_raw,knn_cv_mean,10,-0.109,0.763,0.181
force_ii_tmag,eff_raw,norm_entropy,10,0.146,0.688,0.282
force_ii_tmag,eff_raw,min_pairwise,10,0.197,0.586,0.132
force_ii_tmag,eff_raw,spc_err_strength,10,-0.394,0.26,-0.587
