dataset,mode,n_seeds,eff_raw,eff_norm,eff_winrate,beat_m00,less_is_more_margin,n,d,spread,nn1_mean,knn5_mean,knn5_median,het_global_cv,knn_cv_mean,knn_ratio_mean,norm_entropy,min_pairwise,spc_err_strength,spc_err_nn_k1,var_err_strength,teacher_edge
airquality,uniform,4,0.07514,0.04159,0.75,-0.01413,-0.05112,5552.0,11.0,3.07949,0.51832,0.68433,0.63307,0.34228,0.53684,nan,0.57018,0.09524,0.69,0.465,0.228,0.16176
airquality,force_ii,4,0.17752,0.09955,0.75,0.08825,-0.05112,5552.0,11.0,3.07949,0.51832,0.68433,0.63307,0.34228,0.53684,nan,0.57018,0.09524,0.69,0.465,0.228,0.16176
airquality,force_ii_tmag,4,-0.24143,-0.13662,0.25,-0.3307,-0.05112,5552.0,11.0,3.07949,0.51832,0.68433,0.63307,0.34228,0.53684,nan,0.57018,0.09524,0.69,0.465,0.228,0.16176
airquality,teacher_sign_tmag,4,-0.00672,-0.00513,0.5,-0.096,-0.05112,5552.0,11.0,3.07949,0.51832,0.68433,0.63307,0.34228,0.53684,nan,0.57018,0.09524,0.69,0.465,0.228,0.16176
airquality,sameside_tmag,4,0.08384,0.04619,0.75,-0.00542,-0.05112,5552.0,11.0,3.07949,0.51832,0.68433,0.63307,0.34228,0.53684,nan,0.57018,0.09524,0.69,0.465,0.228,0.16176
autompg,uniform,4,-0.03954,-0.01452,0.5,-0.20546,-0.06245,313.0,7.0,2.4989,0.46581,0.68933,0.59427,0.40605,0.56016,nan,0.79605,0.13043,0.424,0.081,0.412,0.00647
autompg,force_ii,4,-0.05734,-0.02325,0.25,-0.22326,-0.06245,313.0,7.0,2.4989,0.46581,0.68933,0.59427,0.40605,0.56016,nan,0.79605,0.13043,0.424,0.081,0.412,0.00647
autompg,force_ii_tmag,4,-0.11321,-0.04481,0.25,-0.27913,-0.06245,313.0,7.0,2.4989,0.46581,0.68933,0.59427,0.40605,0.56016,nan,0.79605,0.13043,0.424,0.081,0.412,0.00647
autompg,teacher_sign_tmag,4,-0.01921,-0.0072,0.5,-0.18512,-0.06245,313.0,7.0,2.4989,0.46581,0.68933,0.59427,0.40605,0.56016,nan,0.79605,0.13043,0.424,0.081,0.412,0.00647
autompg,sameside_tmag,4,-0.09158,-0.03559,0.0,-0.2575,-0.06245,313.0,7.0,2.4989,0.46581,0.68933,0.59427,0.40605,0.56016,nan,0.79605,0.13043,0.424,0.081,0.412,0.00647
beijing,uniform,4,1.93697,0.02566,1.0,1.19292,-0.00984,33405.0,10.0,2.85979,0.53596,0.78553,0.7072,0.54172,0.5663,nan,0.16046,0.11496,0.129,0.095,0.148,-0.08898
beijing,force_ii,4,1.30564,0.01729,1.0,0.56159,-0.00984,33405.0,10.0,2.85979,0.53596,0.78553,0.7072,0.54172,0.5663,nan,0.16046,0.11496,0.129,0.095,0.148,-0.08898
beijing,force_ii_tmag,4,1.94494,0.02574,1.0,1.20089,-0.00984,33405.0,10.0,2.85979,0.53596,0.78553,0.7072,0.54172,0.5663,nan,0.16046,0.11496,0.129,0.095,0.148,-0.08898
beijing,teacher_sign_tmag,4,0.58904,0.00775,0.5,-0.15501,-0.00984,33405.0,10.0,2.85979,0.53596,0.78553,0.7072,0.54172,0.5663,nan,0.16046,0.11496,0.129,0.095,0.148,-0.08898
beijing,sameside_tmag,4,0.44638,0.00587,0.75,-0.29767,-0.00984,33405.0,10.0,2.85979,0.53596,0.78553,0.7072,0.54172,0.5663,nan,0.16046,0.11496,0.129,0.095,0.148,-0.08898
bloodfat,uniform,4,-6.79119,-0.10621,0.0,-10.31678,-0.05335,20.0,2.0,1.26131,0.48791,0.82669,0.69939,0.65097,0.60654,nan,0.51365,0.0,0.6,0.1,0.6,5.96115
bloodfat,force_ii,4,-12.47491,-0.21847,0.0,-16.00051,-0.05335,20.0,2.0,1.26131,0.48791,0.82669,0.69939,0.65097,0.60654,nan,0.51365,0.0,0.6,0.1,0.6,5.96115
bloodfat,force_ii_tmag,4,-5.12128,-0.08324,0.0,-8.64687,-0.05335,20.0,2.0,1.26131,0.48791,0.82669,0.69939,0.65097,0.60654,nan,0.51365,0.0,0.6,0.1,0.6,5.96115
bloodfat,teacher_sign_tmag,4,-4.55909,-0.07204,0.0,-8.08467,-0.05335,20.0,2.0,1.26131,0.48791,0.82669,0.69939,0.65097,0.60654,nan,0.51365,0.0,0.6,0.1,0.6,5.96115
bloodfat,sameside_tmag,4,-7.70014,-0.1187,0.0,-11.22573,-0.05335,20.0,2.0,1.26131,0.48791,0.82669,0.69939,0.65097,0.60654,nan,0.51365,0.0,0.6,0.1,0.6,5.96115
california,uniform,4,-0.02059,-0.03297,0.0,-0.03253,-0.01914,16512.0,8.0,2.2582,0.42717,0.54127,0.45663,1.48161,0.52512,nan,0.01159,0.07704,0.096,0.047,0.038,0.01094
california,force_ii,4,-0.01628,-0.02608,0.0,-0.02822,-0.01914,16512.0,8.0,2.2582,0.42717,0.54127,0.45663,1.48161,0.52512,nan,0.01159,0.07704,0.096,0.047,0.038,0.01094
california,force_ii_tmag,4,-0.01514,-0.02426,0.0,-0.02708,-0.01914,16512.0,8.0,2.2582,0.42717,0.54127,0.45663,1.48161,0.52512,nan,0.01159,0.07704,0.096,0.047,0.038,0.01094
california,teacher_sign_tmag,4,-0.02201,-0.03526,0.0,-0.03395,-0.01914,16512.0,8.0,2.2582,0.42717,0.54127,0.45663,1.48161,0.52512,nan,0.01159,0.07704,0.096,0.047,0.038,0.01094
