dataset,method,n,mean_impr,impr_t,impr_std,mean_gain_vs_uniform,gain_t
metro,uniform,4,-5.91467,-1.44,8.21897,0.0,-
metro,force_ii,4,-7.8938,-1.46,10.81559,-1.97912,-0.39
metro,force_ii_tmag,4,-9.88221,-2.59,7.63351,-3.96753,-1.11
metro,teacher_sign_tmag,4,-14.28248,-1.72,16.59308,-8.3678,-1.08
metro,sameside_tmag,4,-13.20166,-1.31,20.15362,-7.28698,-0.84
beijing,uniform,4,1.93697,4.05,0.95736,0.0,-
beijing,force_ii,4,1.30564,3.71,0.70395,-0.63133,-2.6
beijing,force_ii_tmag,4,1.94494,10.43,0.37284,0.00797,0.02
beijing,teacher_sign_tmag,4,0.58904,1.81,0.65178,-1.34793,-2.37
beijing,sameside_tmag,4,0.44638,1.47,0.60767,-1.49059,-2.29
nyse,uniform,4,40938.28996,0.24,345543.74603,0.0,-
nyse,force_ii,4,-69653.32686,-0.86,161315.25344,-110591.61682,-0.85
nyse,force_ii_tmag,4,-284848.90243,-3.04,187153.57039,-325787.19239,-2.59
nyse,teacher_sign_tmag,4,-179324.71831,-0.88,409642.5668,-220263.00827,-3.59
nyse,sameside_tmag,4,-381544.37774,-2.53,302081.51517,-422482.6677,-2.47
nyse_log,uniform,4,0.0102,0.5,0.0405,0.0,-
nyse_log,force_ii,4,0.00391,0.13,0.05956,-0.00629,-0.38
nyse_log,force_ii_tmag,4,0.02319,1.34,0.03461,0.01299,0.4
nyse_log,teacher_sign_tmag,4,0.01325,0.7,0.03765,0.00305,0.22
nyse_log,sameside_tmag,4,0.01603,0.77,0.04139,0.00583,0.2
