dataset,seed,method,rmse_base,rmse_guided,improvement
ccpp,42,A_self,4.78547,4.70346,0.08201
ccpp,42,A_labels,4.78547,4.66406,0.12141
ccpp,42,B_oof,4.78547,4.59329,0.19218
ccpp,42,C_ens,4.78547,4.61729,0.16818
ccpp,42,D_bigTM,4.78547,4.76216,0.02331
ccpp,42,D_nn,4.78547,4.84447,-0.059
ccpp,43,A_self,4.53439,4.53687,-0.00248
ccpp,43,A_labels,4.53439,4.81902,-0.28463
ccpp,43,B_oof,4.53439,4.67473,-0.14034
ccpp,43,C_ens,4.53439,4.48507,0.04932
ccpp,43,D_bigTM,4.53439,4.64529,-0.1109
ccpp,43,D_nn,4.53439,4.5388,-0.00441
ccpp,44,A_self,4.5766,4.8225,-0.2459
ccpp,44,A_labels,4.5766,4.57149,0.00511
ccpp,44,B_oof,4.5766,4.47264,0.10396
ccpp,44,C_ens,4.5766,4.52897,0.04763
ccpp,44,D_bigTM,4.5766,4.71372,-0.13712
ccpp,44,D_nn,4.5766,5.26181,-0.6852
ccpp,45,A_self,5.15463,4.6247,0.52993
ccpp,45,A_labels,5.15463,4.575,0.57964
ccpp,45,B_oof,5.15463,4.47667,0.67797
ccpp,45,C_ens,5.15463,4.93172,0.22291
ccpp,45,D_bigTM,5.15463,4.62599,0.52865
ccpp,45,D_nn,5.15463,4.72683,0.4278
ccpp,46,A_self,4.50843,4.97738,-0.46895
ccpp,46,A_labels,4.50843,4.68515,-0.17672
ccpp,46,B_oof,4.50843,4.75401,-0.24558
ccpp,46,C_ens,4.50843,4.70771,-0.19928
ccpp,46,D_bigTM,4.50843,5.00613,-0.4977
ccpp,46,D_nn,4.50843,4.65963,-0.15121
ccpp,47,A_self,4.98724,4.92805,0.05919
ccpp,47,A_labels,4.98724,4.58286,0.40438
ccpp,47,B_oof,4.98724,4.62794,0.3593
ccpp,47,C_ens,4.98724,4.96903,0.01821
ccpp,47,D_bigTM,4.98724,4.62572,0.36152
ccpp,47,D_nn,4.98724,4.8096,0.17764
ccpp,48,A_self,5.19163,4.6627,0.52893
ccpp,48,A_labels,5.19163,4.54354,0.64809
ccpp,48,B_oof,5.19163,4.68316,0.50848
ccpp,48,C_ens,5.19163,4.55874,0.63289
ccpp,48,D_bigTM,5.19163,4.95709,0.23455
ccpp,48,D_nn,5.19163,5.06501,0.12663
ccpp,49,A_self,4.63392,4.93274,-0.29882
ccpp,49,A_labels,4.63392,4.66601,-0.03208
ccpp,49,B_oof,4.63392,4.78387,-0.14995
ccpp,49,C_ens,4.63392,4.59305,0.04087
ccpp,49,D_bigTM,4.63392,4.81033,-0.17641
ccpp,49,D_nn,4.63392,4.76257,-0.12865
