dataset,seed,method,rmse_base,rmse_guided,improvement
energy,42,A_self,1.1648,0.95495,0.20985
energy,42,A_labels,1.1648,0.8523,0.3125
energy,42,B_oof,1.1648,0.95601,0.20879
energy,42,C_ens,1.1648,0.91977,0.24503
energy,42,D_bigTM,1.1648,0.83028,0.33453
energy,42,D_nn,1.1648,0.93636,0.22844
energy,43,A_self,0.90379,0.91617,-0.01238
energy,43,A_labels,0.90379,0.92311,-0.01933
energy,43,B_oof,0.90379,0.81975,0.08403
energy,43,C_ens,0.90379,1.00934,-0.10555
energy,43,D_bigTM,0.90379,0.74964,0.15415
energy,43,D_nn,0.90379,0.85794,0.04584
energy,44,A_self,0.87801,0.94954,-0.07153
energy,44,A_labels,0.87801,0.87728,0.00072
energy,44,B_oof,0.87801,0.95258,-0.07458
energy,44,C_ens,0.87801,1.00114,-0.12314
energy,44,D_bigTM,0.87801,0.93163,-0.05362
energy,44,D_nn,0.87801,0.89539,-0.01739
energy,45,A_self,1.00691,0.92921,0.0777
energy,45,A_labels,1.00691,0.87457,0.13234
energy,45,B_oof,1.00691,0.92627,0.08065
energy,45,C_ens,1.00691,0.8694,0.13751
energy,45,D_bigTM,1.00691,0.89856,0.10835
energy,45,D_nn,1.00691,0.80561,0.20131
energy,46,A_self,0.91253,0.88203,0.0305
energy,46,A_labels,0.91253,0.9144,-0.00188
energy,46,B_oof,0.91253,1.01955,-0.10702
energy,46,C_ens,0.91253,0.89901,0.01352
energy,46,D_bigTM,0.91253,1.05055,-0.13802
energy,46,D_nn,0.91253,0.9234,-0.01087
energy,47,A_self,0.88487,0.91664,-0.03178
energy,47,A_labels,0.88487,0.9703,-0.08543
energy,47,B_oof,0.88487,0.83759,0.04727
energy,47,C_ens,0.88487,0.82493,0.05994
energy,47,D_bigTM,0.88487,0.78164,0.10323
energy,47,D_nn,0.88487,1.12477,-0.2399
energy,48,A_self,0.8678,0.86556,0.00224
energy,48,A_labels,0.8678,0.86816,-0.00036
energy,48,B_oof,0.8678,0.96782,-0.10002
energy,48,C_ens,0.8678,0.92963,-0.06182
energy,48,D_bigTM,0.8678,0.79521,0.07259
energy,48,D_nn,0.8678,0.89467,-0.02687
energy,49,A_self,0.89638,0.86347,0.03291
energy,49,A_labels,0.89638,0.95858,-0.0622
energy,49,B_oof,0.89638,0.91874,-0.02236
energy,49,C_ens,0.89638,0.79358,0.1028
energy,49,D_bigTM,0.89638,0.8804,0.01599
energy,49,D_nn,0.89638,0.92489,-0.02851
