dataset,method,n,mean_improvement,std,winrate,t_stat,works
energy,A_self,8,0.02969,0.08009,0.625,1.05,~ns
energy,A_labels,8,0.03454,0.12102,0.375,0.81,~ns
energy,B_oof,8,0.01459,0.1032,0.5,0.4,~ns
energy,C_ens,8,0.03354,0.11959,0.625,0.79,~ns
energy,D_bigTM,8,0.07465,0.13273,0.75,1.59,~ns
energy,D_nn,8,0.01901,0.13758,0.375,0.39,~ns
ccpp,A_self,8,0.02299,0.3421,0.5,0.19,~ns
ccpp,A_labels,8,0.15815,0.32548,0.625,1.37,~ns
ccpp,B_oof,8,0.16325,0.31311,0.625,1.47,~ns
ccpp,C_ens,8,0.12259,0.22492,0.875,1.54,~ns
ccpp,D_bigTM,8,0.02824,0.3101,0.5,0.26,~ns
ccpp,D_nn,8,-0.03705,0.3025,0.375,-0.35,~ns
california,A_self,8,-0.0019,0.00624,0.25,-0.86,~ns
california,A_labels,8,-0.00347,0.00562,0.25,-1.75,~ns
california,B_oof,8,0.00063,0.00724,0.5,0.25,~ns
california,C_ens,8,-0.00065,0.00867,0.375,-0.21,~ns
california,D_bigTM,8,-0.01559,0.01374,0.125,-3.21,hurts
california,D_nn,8,-0.00614,0.00851,0.25,-2.04,hurts
