dataset,seed,idx,teacher_help,in_hole,local_density,dist_nearest,local_y_rough,support_loss,teacher_extra,ts_disagree,err_unguided
energy,42,0,-0.008861,0.0,0.902783,0.658442,0.109847,0.0,0.0,0.05981,0.07464
energy,42,1,0.062025,1.0,0.821376,0.644894,0.166834,0.644894,0.0,0.015506,0.082124
energy,42,2,-0.058333,0.0,0.882279,0.644894,0.007244,0.0,0.0,0.050949,0.138214
energy,42,3,-0.143249,0.0,0.766025,0.644894,0.622164,0.0,0.0,0.022152,0.120327
energy,42,4,-0.022152,0.0,0.753454,0.644894,0.155369,0.0,0.0,0.046519,0.023438
energy,42,5,0.052426,0.0,0.774862,0.644894,0.481696,0.0,0.0,0.091561,0.131597
energy,42,6,0.087869,0.0,0.93385,0.644894,0.014853,0.0,0.0,0.020675,0.097489
energy,42,7,-0.040612,0.0,0.882279,0.644894,0.022276,0.0,0.0,0.011814,0.028599
energy,42,8,-0.014768,0.0,0.757234,0.644894,0.198207,0.0,0.0,0.029536,0.212101
energy,42,9,-0.039873,1.0,0.932211,0.644894,0.23415,0.257852,0.0,0.012553,0.081111
energy,42,10,0.028281,0.0,0.701883,0.644894,0.158335,0.0,0.0,0.05981,0.063244
energy,42,11,-0.008122,0.0,0.925539,0.644894,0.168298,0.0,0.0,0.064241,0.075487
energy,42,12,0.002954,0.0,0.839303,0.644894,0.185227,0.0,0.0,0.008122,0.164453
energy,42,13,-0.013291,1.0,0.817595,0.644894,0.020703,0.257852,0.257852,0.008861,0.116844
energy,42,14,0.028059,0.0,0.847432,0.644894,0.181096,0.0,0.0,0.089346,0.073506
energy,42,15,0.001477,0.0,1.015103,0.644894,0.241396,0.0,0.0,0.05538,0.143201
energy,42,16,-0.022152,0.0,0.93385,0.644894,0.046529,0.0,0.0,0.061287,0.02669
energy,42,17,-0.001569,1.0,0.826202,0.644894,0.026883,0.257852,0.257852,0.0923,0.018414
energy,42,18,-0.042827,0.0,0.712338,0.644894,0.022094,0.0,0.0,0.016245,0.067545
energy,42,19,-0.001477,0.0,0.882279,0.644894,0.038999,0.0,0.0,0.011814,0.048833
energy,42,20,-0.003692,1.0,0.724069,0.644894,0.467782,0.0,0.0,0.017722,0.075857
energy,42,21,0.014768,1.0,0.858932,0.644894,0.653644,1.062681,0.0,0.186814,0.194071
energy,42,22,-0.036181,1.0,0.760128,0.644894,0.159688,0.257852,0.257852,0.050949,0.010298
energy,42,23,0.049473,0.0,0.858155,0.644894,0.610849,0.0,0.0,0.036181,0.226542
energy,42,24,0.016983,0.0,0.753454,0.644894,0.15826,0.0,0.0,0.007384,0.117993
energy,42,25,-0.016186,0.0,0.774631,0.644894,0.616147,0.0,0.0,0.008861,0.048764
energy,42,26,0.0,1.0,0.932211,0.644894,0.286008,0.464538,0.0,0.008122,0.095777
energy,42,27,0.00751,0.0,0.766025,0.644894,0.636261,0.0,0.0,0.015506,0.06135
energy,42,28,0.056857,1.0,0.809875,0.644894,0.163999,0.013548,0.0,0.05538,0.227378
energy,42,29,0.033966,0.0,0.809875,0.644894,0.127862,0.0,0.0,0.05981,0.093952
energy,42,30,-0.057595,1.0,0.95184,0.691814,0.015464,0.773367,0.519404,0.001477,0.091192
energy,42,31,-0.003046,0.0,0.867539,0.644894,0.023152,0.0,0.0,0.059072,0.019152
energy,42,32,-0.031013,0.0,0.753454,0.644894,0.157069,0.013548,0.0,0.028059,0.0141
energy,42,33,0.024367,1.0,0.854636,0.644894,0.541489,0.818718,0.0,0.112975,0.294646
energy,42,34,-0.026582,0.0,0.961055,0.644894,0.602741,0.0,0.0,0.00443,0.001315
energy,42,35,0.016983,0.0,0.93385,0.644894,0.017005,0.0,0.0,0.124789,0.074817
energy,42,36,-0.009599,1.0,0.882279,0.644894,0.019429,0.0,0.0,0.047257,0.092817
energy,42,37,0.003404,0.0,0.875609,0.644894,0.575059,0.0,0.0,0.042827,0.021269
energy,42,38,0.007384,0.0,0.932211,0.644894,0.254721,0.0,0.0,0.049473,0.028829
energy,42,39,0.062764,1.0,0.772515,0.644894,0.04019,0.464538,0.0,0.150633,0.135683
energy,42,40,-0.00443,0.0,0.979032,0.644894,0.258511,0.0,0.0,0.090084,0.043099
energy,42,41,0.009796,1.0,0.774631,0.644894,0.021839,0.84882,0.84882,0.160232,0.041818
energy,42,42,-0.029536,1.0,0.901542,0.658442,0.034093,0.831841,0.0,0.079747,0.361423
energy,42,43,-0.045042,0.0,0.884159,0.644894,0.225213,0.0,0.0,0.089346,0.015454
energy,42,44,-0.034705,1.0,0.854622,0.658442,0.027667,1.398801,0.709915,0.029536,0.316662
energy,42,45,-0.031013,1.0,0.958142,0.658442,0.192274,0.527304,0.0,0.070148,0.354006
energy,42,46,-0.001477,1.0,0.871298,0.658442,0.201377,0.327686,0.327686,0.062764,0.293926
energy,42,47,0.067194,1.0,0.838052,0.644894,0.177788,0.646675,0.0,0.163924,0.11613
energy,42,48,0.009771,0.0,0.835647,0.644894,0.248272,0.0,0.0,0.095992,0.042544
energy,42,49,-0.014768,0.0,0.97547,0.644894,0.269326,0.0,0.0,0.021414,0.042569
