dataset,mode,epochs,seed,teacher_frac,f_opposite,p_teacher,rmse_M100,rmse_M20,student_frac,f,rmse_unguided,rmse_guided
autompg,structured,100,42,0.2,0.0,0.5,3.252,3.1873,0.3,0.0,3.24632,3.24632
autompg,structured,100,42,0.2,0.0,0.5,3.252,3.1873,0.3,0.75,3.24632,3.21423
autompg,structured,100,43,0.2,0.0,0.5,3.29018,3.35365,0.3,0.0,3.49195,3.49195
autompg,structured,100,43,0.2,0.0,0.5,3.29018,3.35365,0.3,0.75,3.49195,3.59045
autompg,structured,100,44,0.2,0.0,0.5,3.46932,3.57878,0.3,0.0,3.36006,3.36006
autompg,structured,100,44,0.2,0.0,0.5,3.46932,3.57878,0.3,0.75,3.36006,3.12703
autompg,structured,100,45,0.2,0.0,0.5,3.41636,3.07965,0.3,0.0,3.36182,3.36182
autompg,structured,100,45,0.2,0.0,0.5,3.41636,3.07965,0.3,0.75,3.36182,3.66819
autompg,structured,100,46,0.2,0.0,0.5,3.15449,3.34332,0.3,0.0,3.63532,3.63532
autompg,structured,100,46,0.2,0.0,0.5,3.15449,3.34332,0.3,0.75,3.63532,3.65484
