dataset,mode,epochs,seed,teacher_frac,f_opposite,p_teacher,rmse_M100,rmse_M20,student_frac,f,rmse_unguided,rmse_guided
bloodfat,structured,100,42,0.2,0.0,0.5,103.00257,108.04572,0.3,0.0,96.56016,96.56016
bloodfat,structured,100,42,0.2,0.0,0.5,103.00257,108.04572,0.3,0.75,96.56016,105.54838
bloodfat,structured,100,43,0.2,0.0,0.5,98.91323,104.83362,0.3,0.0,119.70083,119.70083
bloodfat,structured,100,43,0.2,0.0,0.5,98.91323,104.83362,0.3,0.75,119.70083,122.5767
bloodfat,structured,100,44,0.2,0.0,0.5,99.6327,112.52404,0.3,0.0,131.60724,131.60724
bloodfat,structured,100,44,0.2,0.0,0.5,99.6327,112.52404,0.3,0.75,131.60724,136.21914
bloodfat,structured,100,45,0.2,0.0,0.5,99.40983,101.47323,0.3,0.0,108.46154,108.46154
bloodfat,structured,100,45,0.2,0.0,0.5,99.40983,101.47323,0.3,0.75,108.46154,107.51401
bloodfat,structured,100,46,0.2,0.0,0.5,92.86287,89.78746,0.3,0.0,104.51205,104.51205
bloodfat,structured,100,46,0.2,0.0,0.5,92.86287,89.78746,0.3,0.75,104.51205,104.67592
