dataset,mode,epochs,seed,teacher_frac,f_opposite,p_teacher,rmse_M100,rmse_M20,student_frac,f,rmse_unguided,rmse_guided
california,structured,30,42,0.2,0.0,0.5,0.62406,0.64066,0.3,0.0,0.63991,0.63991
california,structured,30,42,0.2,0.0,0.5,0.62406,0.64066,0.3,0.5,0.63991,0.63712
california,structured,30,42,0.2,0.0,0.5,0.62406,0.64066,0.3,0.75,0.63991,0.64223
california,structured,30,42,0.2,0.0,0.5,0.62406,0.64066,0.3,1.0,0.63991,0.65342
california,structured,30,42,0.2,0.0,0.5,0.62406,0.64066,0.5,0.0,0.65024,0.65024
california,structured,30,42,0.2,0.0,0.5,0.62406,0.64066,0.5,0.5,0.65024,0.66367
california,structured,30,42,0.2,0.0,0.5,0.62406,0.64066,0.5,0.75,0.65024,0.6728
california,structured,30,42,0.2,0.0,0.5,0.62406,0.64066,0.5,1.0,0.65024,0.69391
california,structured,30,43,0.2,0.0,0.5,0.63252,0.64009,0.3,0.0,0.6307,0.6307
california,structured,30,43,0.2,0.0,0.5,0.63252,0.64009,0.3,0.5,0.6307,0.63994
california,structured,30,43,0.2,0.0,0.5,0.63252,0.64009,0.3,0.75,0.6307,0.64153
california,structured,30,43,0.2,0.0,0.5,0.63252,0.64009,0.3,1.0,0.6307,0.63408
california,structured,30,43,0.2,0.0,0.5,0.63252,0.64009,0.5,0.0,0.64565,0.64565
california,structured,30,43,0.2,0.0,0.5,0.63252,0.64009,0.5,0.5,0.64565,0.64235
california,structured,30,43,0.2,0.0,0.5,0.63252,0.64009,0.5,0.75,0.64565,0.64349
california,structured,30,43,0.2,0.0,0.5,0.63252,0.64009,0.5,1.0,0.64565,0.64301
california,structured,30,44,0.2,0.0,0.5,0.63318,0.63052,0.3,0.0,0.63229,0.63229
california,structured,30,44,0.2,0.0,0.5,0.63318,0.63052,0.3,0.5,0.63229,0.6373
california,structured,30,44,0.2,0.0,0.5,0.63318,0.63052,0.3,0.75,0.63229,0.66084
california,structured,30,44,0.2,0.0,0.5,0.63318,0.63052,0.3,1.0,0.63229,0.68171
california,structured,30,44,0.2,0.0,0.5,0.63318,0.63052,0.5,0.0,0.64028,0.64028
california,structured,30,44,0.2,0.0,0.5,0.63318,0.63052,0.5,0.5,0.64028,0.645
california,structured,30,44,0.2,0.0,0.5,0.63318,0.63052,0.5,0.75,0.64028,0.64883
california,structured,30,44,0.2,0.0,0.5,0.63318,0.63052,0.5,1.0,0.64028,0.6859
california,structured,30,45,0.2,0.0,0.5,0.64142,0.6279,0.3,0.0,0.63471,0.63471
california,structured,30,45,0.2,0.0,0.5,0.64142,0.6279,0.3,0.5,0.63471,0.6388
california,structured,30,45,0.2,0.0,0.5,0.64142,0.6279,0.3,0.75,0.63471,0.64715
california,structured,30,45,0.2,0.0,0.5,0.64142,0.6279,0.3,1.0,0.63471,0.62966
california,structured,30,45,0.2,0.0,0.5,0.64142,0.6279,0.5,0.0,0.64892,0.64892
california,structured,30,45,0.2,0.0,0.5,0.64142,0.6279,0.5,0.5,0.64892,0.65266
california,structured,30,45,0.2,0.0,0.5,0.64142,0.6279,0.5,0.75,0.64892,0.66538
california,structured,30,45,0.2,0.0,0.5,0.64142,0.6279,0.5,1.0,0.64892,0.68195
california,structured,30,46,0.2,0.0,0.5,0.63781,0.63571,0.3,0.0,0.62667,0.62667
california,structured,30,46,0.2,0.0,0.5,0.63781,0.63571,0.3,0.5,0.62667,0.62938
california,structured,30,46,0.2,0.0,0.5,0.63781,0.63571,0.3,0.75,0.62667,0.6362
california,structured,30,46,0.2,0.0,0.5,0.63781,0.63571,0.3,1.0,0.62667,0.64609
california,structured,30,46,0.2,0.0,0.5,0.63781,0.63571,0.5,0.0,0.64351,0.64351
california,structured,30,46,0.2,0.0,0.5,0.63781,0.63571,0.5,0.5,0.64351,0.66151
california,structured,30,46,0.2,0.0,0.5,0.63781,0.63571,0.5,0.75,0.64351,0.66612
california,structured,30,46,0.2,0.0,0.5,0.63781,0.63571,0.5,1.0,0.64351,0.67534
california,structured,30,47,0.2,0.0,0.5,0.62777,0.6367,0.3,0.0,0.63962,0.63962
california,structured,30,47,0.2,0.0,0.5,0.62777,0.6367,0.3,0.5,0.63962,0.64711
california,structured,30,47,0.2,0.0,0.5,0.62777,0.6367,0.3,0.75,0.63962,0.63948
california,structured,30,47,0.2,0.0,0.5,0.62777,0.6367,0.3,1.0,0.63962,0.66266
california,structured,30,47,0.2,0.0,0.5,0.62777,0.6367,0.5,0.0,0.64371,0.64371
california,structured,30,47,0.2,0.0,0.5,0.62777,0.6367,0.5,0.5,0.64371,0.64447
california,structured,30,47,0.2,0.0,0.5,0.62777,0.6367,0.5,0.75,0.64371,0.65485
california,structured,30,47,0.2,0.0,0.5,0.62777,0.6367,0.5,1.0,0.64371,0.67009
california,structured,100,42,0.2,0.0,0.5,0.64341,0.6316,0.3,0.0,0.63965,0.63965
california,structured,100,42,0.2,0.0,0.5,0.64341,0.6316,0.3,0.5,0.63965,0.63544
california,structured,100,42,0.2,0.0,0.5,0.64341,0.6316,0.3,0.75,0.63965,0.63952
california,structured,100,42,0.2,0.0,0.5,0.64341,0.6316,0.3,1.0,0.63965,0.64334
california,structured,100,42,0.2,0.0,0.5,0.64341,0.6316,0.5,0.0,0.6673,0.6673
california,structured,100,42,0.2,0.0,0.5,0.64341,0.6316,0.5,0.5,0.6673,0.66287
california,structured,100,42,0.2,0.0,0.5,0.64341,0.6316,0.5,0.75,0.6673,0.67679
california,structured,100,42,0.2,0.0,0.5,0.64341,0.6316,0.5,1.0,0.6673,0.69584
california,structured,100,43,0.2,0.0,0.5,0.62135,0.65085,0.3,0.0,0.63439,0.63439
california,structured,100,43,0.2,0.0,0.5,0.62135,0.65085,0.3,0.5,0.63439,0.63465
california,structured,100,43,0.2,0.0,0.5,0.62135,0.65085,0.3,0.75,0.63439,0.63587
california,structured,100,43,0.2,0.0,0.5,0.62135,0.65085,0.3,1.0,0.63439,0.63568
california,structured,100,43,0.2,0.0,0.5,0.62135,0.65085,0.5,0.0,0.65214,0.65214
california,structured,100,43,0.2,0.0,0.5,0.62135,0.65085,0.5,0.5,0.65214,0.64817
california,structured,100,43,0.2,0.0,0.5,0.62135,0.65085,0.5,0.75,0.65214,0.64154
california,structured,100,43,0.2,0.0,0.5,0.62135,0.65085,0.5,1.0,0.65214,0.65767
california,structured,100,44,0.2,0.0,0.5,0.62844,0.63729,0.3,0.0,0.63325,0.63325
california,structured,100,44,0.2,0.0,0.5,0.62844,0.63729,0.3,0.5,0.63325,0.63039
california,structured,100,44,0.2,0.0,0.5,0.62844,0.63729,0.3,0.75,0.63325,0.62645
california,structured,100,44,0.2,0.0,0.5,0.62844,0.63729,0.3,1.0,0.63325,0.63451
california,structured,100,44,0.2,0.0,0.5,0.62844,0.63729,0.5,0.0,0.6445,0.6445
california,structured,100,44,0.2,0.0,0.5,0.62844,0.63729,0.5,0.5,0.6445,0.63454
