dataset,mode,epochs,seed,teacher_frac,f_opposite,p_teacher,rmse_M100,rmse_M20,student_frac,f,rmse_unguided,rmse_guided
ccpp,structured,30,42,0.2,0.0,0.5,4.93479,4.95866,0.3,0.0,5.18714,5.18714
ccpp,structured,30,42,0.2,0.0,0.5,4.93479,4.95866,0.3,0.5,5.18714,5.5962
ccpp,structured,30,42,0.2,0.0,0.5,4.93479,4.95866,0.3,0.75,5.18714,5.13664
ccpp,structured,30,42,0.2,0.0,0.5,4.93479,4.95866,0.3,1.0,5.18714,5.0964
ccpp,structured,30,42,0.2,0.0,0.5,4.93479,4.95866,0.5,0.0,4.96554,4.96554
ccpp,structured,30,42,0.2,0.0,0.5,4.93479,4.95866,0.5,0.5,4.96554,5.29273
ccpp,structured,30,42,0.2,0.0,0.5,4.93479,4.95866,0.5,0.75,4.96554,5.07226
ccpp,structured,30,42,0.2,0.0,0.5,4.93479,4.95866,0.5,1.0,4.96554,4.80049
ccpp,structured,30,43,0.2,0.0,0.5,5.61558,5.18186,0.3,0.0,5.6218,5.6218
ccpp,structured,30,43,0.2,0.0,0.5,5.61558,5.18186,0.3,0.5,5.6218,5.025
ccpp,structured,30,43,0.2,0.0,0.5,5.61558,5.18186,0.3,0.75,5.6218,4.63437
ccpp,structured,30,43,0.2,0.0,0.5,5.61558,5.18186,0.3,1.0,5.6218,4.85484
ccpp,structured,30,43,0.2,0.0,0.5,5.61558,5.18186,0.5,0.0,5.39363,5.39363
ccpp,structured,30,43,0.2,0.0,0.5,5.61558,5.18186,0.5,0.5,5.39363,5.3044
ccpp,structured,30,43,0.2,0.0,0.5,5.61558,5.18186,0.5,0.75,5.39363,4.75457
ccpp,structured,30,43,0.2,0.0,0.5,5.61558,5.18186,0.5,1.0,5.39363,4.92886
ccpp,structured,30,44,0.2,0.0,0.5,5.01156,5.21506,0.3,0.0,4.77406,4.77406
ccpp,structured,30,44,0.2,0.0,0.5,5.01156,5.21506,0.3,0.5,4.77406,4.7363
ccpp,structured,30,44,0.2,0.0,0.5,5.01156,5.21506,0.3,0.75,4.77406,4.51793
ccpp,structured,30,44,0.2,0.0,0.5,5.01156,5.21506,0.3,1.0,4.77406,4.55995
ccpp,structured,30,44,0.2,0.0,0.5,5.01156,5.21506,0.5,0.0,5.25557,5.25557
ccpp,structured,30,44,0.2,0.0,0.5,5.01156,5.21506,0.5,0.5,5.25557,4.79668
ccpp,structured,30,44,0.2,0.0,0.5,5.01156,5.21506,0.5,0.75,5.25557,4.99901
ccpp,structured,30,44,0.2,0.0,0.5,5.01156,5.21506,0.5,1.0,5.25557,4.82831
ccpp,structured,30,45,0.2,0.0,0.5,5.30258,4.72784,0.3,0.0,5.09479,5.09479
ccpp,structured,30,45,0.2,0.0,0.5,5.30258,4.72784,0.3,0.5,5.09479,5.20249
ccpp,structured,30,45,0.2,0.0,0.5,5.30258,4.72784,0.3,0.75,5.09479,5.10038
ccpp,structured,30,45,0.2,0.0,0.5,5.30258,4.72784,0.3,1.0,5.09479,4.59967
ccpp,structured,30,45,0.2,0.0,0.5,5.30258,4.72784,0.5,0.0,4.89238,4.89238
ccpp,structured,30,45,0.2,0.0,0.5,5.30258,4.72784,0.5,0.5,4.89238,4.82414
ccpp,structured,30,45,0.2,0.0,0.5,5.30258,4.72784,0.5,0.75,4.89238,5.31455
ccpp,structured,30,45,0.2,0.0,0.5,5.30258,4.72784,0.5,1.0,4.89238,4.79116
ccpp,structured,30,46,0.2,0.0,0.5,5.003,5.36393,0.3,0.0,5.40513,5.40513
ccpp,structured,30,46,0.2,0.0,0.5,5.003,5.36393,0.3,0.5,5.40513,5.45442
ccpp,structured,30,46,0.2,0.0,0.5,5.003,5.36393,0.3,0.75,5.40513,4.99609
ccpp,structured,30,46,0.2,0.0,0.5,5.003,5.36393,0.3,1.0,5.40513,4.88232
ccpp,structured,30,46,0.2,0.0,0.5,5.003,5.36393,0.5,0.0,5.27349,5.27349
ccpp,structured,30,46,0.2,0.0,0.5,5.003,5.36393,0.5,0.5,5.27349,4.8881
ccpp,structured,30,46,0.2,0.0,0.5,5.003,5.36393,0.5,0.75,5.27349,4.94691
ccpp,structured,30,46,0.2,0.0,0.5,5.003,5.36393,0.5,1.0,5.27349,4.83302
ccpp,structured,30,47,0.2,0.0,0.5,5.37717,4.84529,0.3,0.0,4.99776,4.99776
ccpp,structured,30,47,0.2,0.0,0.5,5.37717,4.84529,0.3,0.5,4.99776,4.81262
ccpp,structured,30,47,0.2,0.0,0.5,5.37717,4.84529,0.3,0.75,4.99776,4.69636
ccpp,structured,30,47,0.2,0.0,0.5,5.37717,4.84529,0.3,1.0,4.99776,4.5092
ccpp,structured,30,47,0.2,0.0,0.5,5.37717,4.84529,0.5,0.0,5.34165,5.34165
ccpp,structured,30,47,0.2,0.0,0.5,5.37717,4.84529,0.5,0.5,5.34165,5.31637
ccpp,structured,30,47,0.2,0.0,0.5,5.37717,4.84529,0.5,0.75,5.34165,4.95068
ccpp,structured,30,47,0.2,0.0,0.5,5.37717,4.84529,0.5,1.0,5.34165,5.08788
ccpp,structured,100,42,0.2,0.0,0.5,4.64946,4.86854,0.3,0.0,6.04241,6.04241
ccpp,structured,100,42,0.2,0.0,0.5,4.64946,4.86854,0.3,0.5,6.04241,4.98558
