dataset,mode,epochs,seed,teacher_frac,f_opposite,p_teacher,rmse_M100,rmse_M20,student_frac,f,rmse_unguided,rmse_guided
energy,structured,30,42,0.2,0.0,0.5,1.26531,1.36906,0.3,0.0,1.44499,1.44499
energy,structured,30,42,0.2,0.0,0.5,1.26531,1.36906,0.3,0.5,1.44499,1.81621
energy,structured,30,42,0.2,0.0,0.5,1.26531,1.36906,0.3,0.75,1.44499,2.01277
energy,structured,30,42,0.2,0.0,0.5,1.26531,1.36906,0.3,1.0,1.44499,2.04781
energy,structured,30,42,0.2,0.0,0.5,1.26531,1.36906,0.5,0.0,2.65438,2.65438
energy,structured,30,42,0.2,0.0,0.5,1.26531,1.36906,0.5,0.5,2.65438,2.62494
energy,structured,30,42,0.2,0.0,0.5,1.26531,1.36906,0.5,0.75,2.65438,2.85118
energy,structured,30,42,0.2,0.0,0.5,1.26531,1.36906,0.5,1.0,2.65438,3.03459
energy,structured,30,43,0.2,0.0,0.5,1.11915,1.47401,0.3,0.0,1.35449,1.35449
energy,structured,30,43,0.2,0.0,0.5,1.11915,1.47401,0.3,0.5,1.35449,1.64241
energy,structured,30,43,0.2,0.0,0.5,1.11915,1.47401,0.3,0.75,1.35449,1.64215
energy,structured,30,43,0.2,0.0,0.5,1.11915,1.47401,0.3,1.0,1.35449,1.74164
energy,structured,30,43,0.2,0.0,0.5,1.11915,1.47401,0.5,0.0,1.75094,1.75094
energy,structured,30,43,0.2,0.0,0.5,1.11915,1.47401,0.5,0.5,1.75094,1.84346
energy,structured,30,43,0.2,0.0,0.5,1.11915,1.47401,0.5,0.75,1.75094,1.85608
energy,structured,30,43,0.2,0.0,0.5,1.11915,1.47401,0.5,1.0,1.75094,2.11695
energy,structured,30,44,0.2,0.0,0.5,1.22342,1.34492,0.3,0.0,1.58274,1.58274
energy,structured,30,44,0.2,0.0,0.5,1.22342,1.34492,0.3,0.5,1.58274,1.45365
energy,structured,30,44,0.2,0.0,0.5,1.22342,1.34492,0.3,0.75,1.58274,1.60153
energy,structured,30,44,0.2,0.0,0.5,1.22342,1.34492,0.3,1.0,1.58274,1.6505
energy,structured,30,44,0.2,0.0,0.5,1.22342,1.34492,0.5,0.0,1.54192,1.54192
energy,structured,30,44,0.2,0.0,0.5,1.22342,1.34492,0.5,0.5,1.54192,1.84599
energy,structured,30,44,0.2,0.0,0.5,1.22342,1.34492,0.5,0.75,1.54192,2.16533
energy,structured,30,44,0.2,0.0,0.5,1.22342,1.34492,0.5,1.0,1.54192,1.99905
energy,structured,30,45,0.2,0.0,0.5,1.27829,1.63561,0.3,0.0,1.74415,1.74415
energy,structured,30,45,0.2,0.0,0.5,1.27829,1.63561,0.3,0.5,1.74415,2.04598
energy,structured,30,45,0.2,0.0,0.5,1.27829,1.63561,0.3,0.75,1.74415,2.02054
energy,structured,30,45,0.2,0.0,0.5,1.27829,1.63561,0.3,1.0,1.74415,2.0997
energy,structured,30,45,0.2,0.0,0.5,1.27829,1.63561,0.5,0.0,2.13556,2.13556
energy,structured,30,45,0.2,0.0,0.5,1.27829,1.63561,0.5,0.5,2.13556,2.2133
energy,structured,30,45,0.2,0.0,0.5,1.27829,1.63561,0.5,0.75,2.13556,2.54248
energy,structured,30,45,0.2,0.0,0.5,1.27829,1.63561,0.5,1.0,2.13556,2.66754
energy,structured,30,46,0.2,0.0,0.5,1.38583,1.49862,0.3,0.0,1.4006,1.4006
energy,structured,30,46,0.2,0.0,0.5,1.38583,1.49862,0.3,0.5,1.4006,1.54785
energy,structured,30,46,0.2,0.0,0.5,1.38583,1.49862,0.3,0.75,1.4006,1.7205
energy,structured,30,46,0.2,0.0,0.5,1.38583,1.49862,0.3,1.0,1.4006,1.59709
energy,structured,30,46,0.2,0.0,0.5,1.38583,1.49862,0.5,0.0,2.20798,2.20798
energy,structured,30,46,0.2,0.0,0.5,1.38583,1.49862,0.5,0.5,2.20798,2.39931
energy,structured,30,46,0.2,0.0,0.5,1.38583,1.49862,0.5,0.75,2.20798,2.52527
energy,structured,30,46,0.2,0.0,0.5,1.38583,1.49862,0.5,1.0,2.20798,2.64275
energy,structured,30,47,0.2,0.0,0.5,1.34056,1.51011,0.3,0.0,1.80378,1.80378
energy,structured,30,47,0.2,0.0,0.5,1.34056,1.51011,0.3,0.5,1.80378,1.97745
energy,structured,30,47,0.2,0.0,0.5,1.34056,1.51011,0.3,0.75,1.80378,2.03905
energy,structured,30,47,0.2,0.0,0.5,1.34056,1.51011,0.3,1.0,1.80378,1.93514
energy,structured,30,47,0.2,0.0,0.5,1.34056,1.51011,0.5,0.0,2.66398,2.66398
energy,structured,30,47,0.2,0.0,0.5,1.34056,1.51011,0.5,0.5,2.66398,2.84291
energy,structured,30,47,0.2,0.0,0.5,1.34056,1.51011,0.5,0.75,2.66398,2.50463
energy,structured,30,47,0.2,0.0,0.5,1.34056,1.51011,0.5,1.0,2.66398,2.69901
energy,structured,100,42,0.2,0.0,0.5,0.8899,1.27549,0.3,0.0,0.98615,0.98615
energy,structured,100,42,0.2,0.0,0.5,0.8899,1.27549,0.3,0.5,0.98615,1.24075
energy,structured,100,42,0.2,0.0,0.5,0.8899,1.27549,0.3,0.75,0.98615,1.11021
energy,structured,100,42,0.2,0.0,0.5,0.8899,1.27549,0.3,1.0,0.98615,1.18437
energy,structured,100,42,0.2,0.0,0.5,0.8899,1.27549,0.5,0.0,2.43862,2.43862
energy,structured,100,42,0.2,0.0,0.5,0.8899,1.27549,0.5,0.5,2.43862,1.93011
energy,structured,100,42,0.2,0.0,0.5,0.8899,1.27549,0.5,0.75,2.43862,2.15345
energy,structured,100,42,0.2,0.0,0.5,0.8899,1.27549,0.5,1.0,2.43862,2.171
energy,structured,100,43,0.2,0.0,0.5,0.8699,1.16133,0.3,0.0,1.03791,1.03791
energy,structured,100,43,0.2,0.0,0.5,0.8699,1.16133,0.3,0.5,1.03791,1.15086
energy,structured,100,43,0.2,0.0,0.5,0.8699,1.16133,0.3,0.75,1.03791,1.09343
energy,structured,100,43,0.2,0.0,0.5,0.8699,1.16133,0.3,1.0,1.03791,1.25912
energy,structured,100,43,0.2,0.0,0.5,0.8699,1.16133,0.5,0.0,1.18595,1.18595
energy,structured,100,43,0.2,0.0,0.5,0.8699,1.16133,0.5,0.5,1.18595,1.18703
energy,structured,100,43,0.2,0.0,0.5,0.8699,1.16133,0.5,0.75,1.18595,1.3502
energy,structured,100,43,0.2,0.0,0.5,0.8699,1.16133,0.5,1.0,1.18595,1.30522
energy,structured,100,44,0.2,0.0,0.5,1.1853,1.12096,0.3,0.0,0.98268,0.98268
energy,structured,100,44,0.2,0.0,0.5,1.1853,1.12096,0.3,0.5,0.98268,1.13024
energy,structured,100,44,0.2,0.0,0.5,1.1853,1.12096,0.3,0.75,0.98268,1.24566
