dataset,mode,epochs,seed,teacher_frac,f_opposite,p_teacher,rmse_M100,rmse_M20,student_frac,f,rmse_unguided,rmse_guided
metro,structured,100,42,0.2,0.0,0.5,1995.49602,1969.40621,0.3,0.0,1981.53098,1981.53098
metro,structured,100,42,0.2,0.0,0.5,1995.49602,1969.40621,0.3,0.75,1981.53098,1999.67751
metro,structured,100,43,0.2,0.0,0.5,1973.98093,1980.80045,0.3,0.0,1980.87908,1980.87908
metro,structured,100,43,0.2,0.0,0.5,1973.98093,1980.80045,0.3,0.75,1980.87908,1968.34308
metro,structured,100,44,0.2,0.0,0.5,1969.55089,1990.93627,0.3,0.0,1999.08692,1999.08692
metro,structured,100,44,0.2,0.0,0.5,1969.55089,1990.93627,0.3,0.75,1999.08692,1975.14869
metro,structured,100,45,0.2,0.0,0.5,1978.08661,1986.11076,0.3,0.0,2001.31273,2001.31273
metro,structured,100,45,0.2,0.0,0.5,1978.08661,1986.11076,0.3,0.75,2001.31273,2040.47961
metro,structured,100,46,0.2,0.0,0.5,1968.42554,1966.80898,0.3,0.0,2044.76828,2044.76828
metro,structured,100,46,0.2,0.0,0.5,1968.42554,1966.80898,0.3,0.75,2044.76828,2048.49415
