dataset,mode,epochs,seed,teacher_frac,f_opposite,p_teacher,rmse_M100,rmse_M20,student_frac,f,rmse_unguided,rmse_guided
mortality,structured,100,42,0.2,0.0,0.5,39.53795,41.56223,0.3,0.0,42.91636,42.91636
mortality,structured,100,42,0.2,0.0,0.5,39.53795,41.56223,0.3,0.75,42.91636,45.62752
mortality,structured,100,43,0.2,0.0,0.5,35.06386,42.7632,0.3,0.0,43.11926,43.11926
mortality,structured,100,43,0.2,0.0,0.5,35.06386,42.7632,0.3,0.75,43.11926,43.64727
mortality,structured,100,44,0.2,0.0,0.5,43.58395,37.20025,0.3,0.0,38.05069,38.05069
mortality,structured,100,44,0.2,0.0,0.5,43.58395,37.20025,0.3,0.75,38.05069,38.80651
mortality,structured,100,45,0.2,0.0,0.5,45.85061,42.11721,0.3,0.0,45.69755,45.69755
mortality,structured,100,45,0.2,0.0,0.5,45.85061,42.11721,0.3,0.75,45.69755,51.1124
mortality,structured,100,46,0.2,0.0,0.5,40.11957,38.56344,0.3,0.0,34.92278,34.92278
mortality,structured,100,46,0.2,0.0,0.5,40.11957,38.56344,0.3,0.75,34.92278,34.95688
