dataset,mode,epochs,seed,teacher_frac,f_opposite,p_teacher,rmse_M100,rmse_M20,student_frac,f,rmse_unguided,rmse_guided
nyse,structured,100,42,0.2,0.0,0.5,10608432.06728,10763627.05759,0.3,0.0,10655995.63735,10655995.63735
nyse,structured,100,42,0.2,0.0,0.5,10608432.06728,10763627.05759,0.3,0.75,10655995.63735,10879917.06645
nyse,structured,100,43,0.2,0.0,0.5,10632662.05354,11034366.76336,0.3,0.0,10509634.88231,10509634.88231
nyse,structured,100,43,0.2,0.0,0.5,10632662.05354,11034366.76336,0.3,0.75,10509634.88231,10488738.63297
nyse,structured,100,44,0.2,0.0,0.5,10746784.9949,11867429.70071,0.3,0.0,11878013.81029,11878013.81029
nyse,structured,100,44,0.2,0.0,0.5,10746784.9949,11867429.70071,0.3,0.75,11878013.81029,12184656.91034
nyse,structured,100,45,0.2,0.0,0.5,10832825.39474,10571141.1959,0.3,0.0,10862487.08647,10862487.08647
nyse,structured,100,45,0.2,0.0,0.5,10832825.39474,10571141.1959,0.3,0.75,10862487.08647,10935307.48796
nyse,structured,100,46,0.2,0.0,0.5,10677491.9214,10720961.95296,0.3,0.0,11041053.35859,11041053.35859
nyse,structured,100,46,0.2,0.0,0.5,10677491.9214,10720961.95296,0.3,0.75,11041053.35859,11298373.93729
