dataset,mode,epochs,seed,teacher_frac,f_opposite,p_teacher,rmse_M100,rmse_M20,student_frac,f,rmse_unguided,rmse_guided
nyse_log,structured,100,42,0.2,0.0,0.5,0.54467,0.51683,0.3,0.0,0.57185,0.57185
nyse_log,structured,100,42,0.2,0.0,0.5,0.54467,0.51683,0.3,0.75,0.57185,0.50988
nyse_log,structured,100,43,0.2,0.0,0.5,0.50758,0.54572,0.3,0.0,0.49577,0.49577
nyse_log,structured,100,43,0.2,0.0,0.5,0.50758,0.54572,0.3,0.75,0.49577,0.53525
nyse_log,structured,100,44,0.2,0.0,0.5,0.49502,0.59773,0.3,0.0,0.50096,0.50096
nyse_log,structured,100,44,0.2,0.0,0.5,0.49502,0.59773,0.3,0.75,0.50096,0.47171
nyse_log,structured,100,45,0.2,0.0,0.5,0.47937,0.67719,0.3,0.0,0.49093,0.49093
nyse_log,structured,100,45,0.2,0.0,0.5,0.47937,0.67719,0.3,0.75,0.49093,0.54837
nyse_log,structured,100,46,0.2,0.0,0.5,0.56676,0.52529,0.3,0.0,0.65459,0.65459
nyse_log,structured,100,46,0.2,0.0,0.5,0.56676,0.52529,0.3,0.75,0.65459,0.4887
