dataset,p,mode,repeat,model,n_kept,n_removed,n_inhole,rmse_orig,rmse_inhole,rmse_surviving,target_rmse,epochs_to_target,iters_to_target,secs_to_target,secs_total,epochs_run
california,0.0,none,0,TM,16512,0,0,0.6191,,,,,,35.11,35.11,30
california,0.0,none,1,TM,16512,0,0,0.6148,,,,,,35.18,35.18,30
california,0.0,none,0,NN,16512,0,0,0.51638,,,,,,14.02,14.02,100
california,0.0,none,1,NN,16512,0,0,0.51023,,,,,,14.68,14.68,100
california,0.2,uniform,0,TM,13210,3302,224,0.61355,0.59658,0.61451,0.61695,29,29,27.75,95.69,100
california,0.2,uniform,0,NN,13210,3302,224,0.52114,0.48833,0.52296,0.5133,,,,33.88,300
california,0.2,uniform,1,TM,13210,3302,206,0.61584,0.65357,0.61379,0.61695,42,42,40.26,95.85,100
california,0.2,uniform,1,NN,13210,3302,206,0.53055,0.59964,0.52667,0.5133,105,10920,14.45,41.28,300
california,0.2,structured,0,TM,13210,3302,846,0.65211,0.72256,0.63268,0.61695,,,,97.66,100
california,0.2,structured,0,NN,13210,3302,846,0.53057,0.5401,0.52808,0.5133,,,,32.74,300
california,0.2,structured,1,TM,13210,3302,760,0.61593,0.5908,0.62146,0.61695,23,23,21.93,95.37,100
california,0.2,structured,1,NN,13210,3302,760,0.52516,0.53829,0.52215,0.5133,,,,33.25,300
california,0.4,uniform,0,TM,9907,6605,1309,0.62476,0.59528,0.63799,0.61695,23,23,17.12,74.45,100
california,0.4,uniform,0,NN,9907,6605,1309,0.53479,0.51987,0.54158,0.5133,,,,24.43,300
california,0.4,uniform,1,TM,9907,6605,1335,0.61087,0.59222,0.61959,0.61695,26,26,19.26,74.08,100
california,0.4,uniform,1,NN,9907,6605,1335,0.53376,0.51762,0.5413,0.5133,,,,24.71,300
california,0.4,structured,0,TM,9907,6605,1687,0.64988,0.65863,0.64377,0.61695,,,,74.21,100
california,0.4,structured,0,NN,9907,6605,1687,0.62073,0.68987,0.56805,0.5133,,,,24.64,300
california,0.4,structured,1,TM,9907,6605,1637,0.61303,0.6015,0.6205,0.61695,15,15,11.0,73.32,100
california,0.4,structured,1,NN,9907,6605,1637,0.53827,0.54726,0.53229,0.5133,,,,24.71,300
california,0.6,uniform,0,TM,6605,9907,2833,0.62897,0.6295,0.6278,0.61695,,,,51.68,100
california,0.6,uniform,0,NN,6605,9907,2833,0.56062,0.56537,0.5501,0.5133,,,,16.08,300
california,0.6,uniform,1,TM,6605,9907,2836,0.61886,0.62642,0.60192,0.61695,92,92,47.83,51.99,100
california,0.6,uniform,1,NN,6605,9907,2836,0.54059,0.54564,0.52933,0.5133,,,,16.14,300
california,0.6,structured,0,TM,6605,9907,2609,0.65099,0.6543,0.64527,0.61695,,,,52.06,100
california,0.6,structured,0,NN,6605,9907,2609,0.60755,0.61554,0.59356,0.5133,,,,16.17,300
california,0.6,structured,1,TM,6605,9907,2513,0.65232,0.68265,0.6021,0.61695,,,,51.54,100
california,0.6,structured,1,NN,6605,9907,2513,0.67756,0.75806,0.52845,0.5133,,,,16.08,300
