dataset,p,mode,repeat,model,n_kept,n_removed,n_inhole,rmse_orig,rmse_inhole,rmse_surviving,target_rmse,epochs_to_target,iters_to_target,secs_to_target,secs_total,epochs_run
ccpp,0.0,none,0,TM,7654,0,0,5.51014,,,,,,14.71,14.71,30
ccpp,0.0,none,1,TM,7654,0,0,5.38536,,,,,,14.66,14.66,30
ccpp,0.0,none,0,NN,7654,0,0,3.75335,,,,,,9.61,9.61,100
ccpp,0.0,none,1,NN,7654,0,0,3.78518,,,,,,6.52,6.52,100
ccpp,0.1,uniform,0,TM,6889,765,23,4.59849,4.66608,4.59766,5.44775,2,2,0.86,43.01,100
ccpp,0.1,uniform,0,NN,6889,765,23,3.94752,4.18783,3.94451,3.76926,115,6210,6.46,16.84,300
ccpp,0.1,uniform,1,TM,6889,765,16,5.03882,5.42594,5.03543,5.44775,1,1,0.43,43.12,100
ccpp,0.1,uniform,1,NN,6889,765,16,3.69714,4.02588,3.69424,3.76926,122,6588,6.82,16.76,300
ccpp,0.1,structured,0,TM,6889,765,188,4.51239,3.68937,4.59314,5.44775,2,2,0.86,42.79,100
ccpp,0.1,structured,0,NN,6889,765,188,3.75819,3.93979,3.73788,3.76926,95,5130,5.54,17.48,300
ccpp,0.1,structured,1,TM,6889,765,183,4.82093,4.81487,4.82157,5.44775,2,2,0.86,43.15,100
ccpp,0.1,structured,1,NN,6889,765,183,3.75269,3.62251,3.76619,3.76926,127,6858,7.37,17.4,300
ccpp,0.2,uniform,0,TM,6123,1531,110,5.19904,5.38784,5.18731,5.44775,2,2,0.79,39.73,100
ccpp,0.2,uniform,0,NN,6123,1531,110,3.75972,3.59934,3.76928,3.76926,113,5424,5.89,15.63,300
ccpp,0.2,uniform,1,TM,6123,1531,112,4.5091,4.79466,4.49075,5.44775,2,2,0.77,38.28,100
ccpp,0.2,uniform,1,NN,6123,1531,112,3.76219,3.79857,3.75992,3.76926,230,11040,11.67,15.22,300
ccpp,0.2,structured,0,TM,6123,1531,393,4.78775,4.43215,4.87542,5.44775,2,2,0.77,38.5,100
ccpp,0.2,structured,0,NN,6123,1531,393,3.86673,4.19954,3.77597,3.76926,,,,14.58,300
ccpp,0.2,structured,1,TM,6123,1531,384,5.09931,4.61344,5.21415,5.44775,3,3,1.16,38.82,100
ccpp,0.2,structured,1,NN,6123,1531,384,3.90714,3.75384,3.94468,3.76926,,,,14.49,300
ccpp,0.3,uniform,0,TM,5358,2296,294,4.69823,5.04182,4.63314,5.44775,2,2,0.68,33.89,100
ccpp,0.3,uniform,0,NN,5358,2296,294,3.78953,3.97027,3.7558,3.76926,139,5838,5.81,12.55,300
ccpp,0.3,uniform,1,TM,5358,2296,298,4.95627,4.94581,4.9582,5.44775,2,2,0.68,34.2,100
ccpp,0.3,uniform,1,NN,5358,2296,298,3.75601,3.99145,3.71096,3.76926,210,8820,8.84,12.63,300
ccpp,0.3,structured,0,TM,5358,2296,599,5.01509,4.92995,5.0534,5.44775,2,2,0.69,34.25,100
ccpp,0.3,structured,0,NN,5358,2296,599,4.14645,5.03511,3.67101,3.76926,,,,12.57,300
ccpp,0.3,structured,1,TM,5358,2296,607,5.07015,5.0767,5.06711,5.44775,2,2,0.68,34.03,100
ccpp,0.3,structured,1,NN,5358,2296,607,4.04457,4.11401,4.01192,3.76926,,,,13.13,300
ccpp,0.4,uniform,0,TM,4592,3062,626,4.93367,4.92224,4.93921,5.44775,2,2,0.59,29.51,100
ccpp,0.4,uniform,0,NN,4592,3062,626,3.86123,3.97201,3.80623,3.76926,,,,11.07,300
ccpp,0.4,uniform,1,TM,4592,3062,632,5.19363,5.15998,5.21014,5.44775,2,2,0.59,29.46,100
ccpp,0.4,uniform,1,NN,4592,3062,632,3.76684,3.76159,3.76943,3.76926,290,10440,10.94,11.31,300
ccpp,0.4,structured,0,TM,4592,3062,783,4.59674,4.63014,4.57348,5.44775,3,3,0.89,29.6,100
ccpp,0.4,structured,0,NN,4592,3062,783,4.1292,4.78406,3.60685,3.76926,,,,10.92,300
ccpp,0.4,structured,1,TM,4592,3062,781,4.87257,4.70479,4.98495,5.44775,4,4,1.18,29.42,100
ccpp,0.4,structured,1,NN,4592,3062,781,4.04919,4.16273,3.96904,3.76926,,,,11.1,300
ccpp,0.5,uniform,0,TM,3827,3827,956,4.63928,4.66214,4.61637,5.44775,2,2,0.5,25.12,100
ccpp,0.5,uniform,0,NN,3827,3827,956,3.86917,3.98785,3.74698,3.76926,,,,9.08,300
ccpp,0.5,uniform,1,TM,3827,3827,1000,4.74563,4.76753,4.72156,5.44775,2,2,0.51,25.36,100
ccpp,0.5,uniform,1,NN,3827,3827,1000,3.81824,4.03569,3.56517,3.76926,,,,9.37,300
ccpp,0.5,structured,0,TM,3827,3827,989,5.10437,5.102,5.10691,5.44775,2,2,0.5,25.22,100
ccpp,0.5,structured,0,NN,3827,3827,989,4.12921,4.55152,3.62363,3.76926,,,,9.3,300
ccpp,0.5,structured,1,TM,3827,3827,951,5.20363,5.11835,5.2865,5.44775,3,3,0.76,25.32,100
ccpp,0.5,structured,1,NN,3827,3827,951,4.19747,4.4665,3.91367,3.76926,,,,9.36,300
ccpp,0.6,uniform,0,TM,3062,4592,1291,5.63403,5.60954,5.68444,5.44775,3,3,0.63,20.87,100
ccpp,0.6,uniform,0,NN,3062,4592,1291,3.88912,3.91342,3.83827,3.76926,,,,7.39,300
ccpp,0.6,uniform,1,TM,3062,4592,1334,4.86953,4.96046,4.65365,5.44775,3,3,0.63,20.88,100
ccpp,0.6,uniform,1,NN,3062,4592,1334,3.93345,4.06167,3.62134,3.76926,,,,7.66,300
ccpp,0.6,structured,0,TM,3062,4592,1178,5.91773,6.29783,5.25242,5.44775,4,4,0.84,21.01,100
ccpp,0.6,structured,0,NN,3062,4592,1178,4.32099,4.86543,3.26585,3.76926,,,,8.75,300
ccpp,0.6,structured,1,TM,3062,4592,1170,5.02834,5.03719,5.01439,5.44775,4,4,0.83,20.85,100
ccpp,0.6,structured,1,NN,3062,4592,1170,4.49036,4.88671,3.784,3.76926,,,,7.5,300
