dataset,p,mode,repeat,model,n_kept,n_removed,n_inhole,rmse_orig,rmse_inhole,rmse_surviving,target_rmse,epochs_to_target,iters_to_target,secs_to_target,secs_total,epochs_run
energy,0.0,none,0,TM,614,0,0,1.11941,,,,,,1.36,1.36,30
energy,0.0,none,1,TM,614,0,0,1.08122,,,,,,1.2,1.2,30
energy,0.0,none,0,NN,614,0,0,1.70734,,,,,,3.26,3.26,100
energy,0.0,none,1,NN,614,0,0,1.99296,,,,,,0.62,0.62,100
energy,0.1,uniform,0,TM,553,61,2,0.85025,0.62215,0.85284,1.10032,43,43,1.55,3.61,100
energy,0.1,uniform,0,NN,553,61,2,0.61944,0.33144,0.62234,1.85015,93,465,0.57,1.83,300
energy,0.1,uniform,1,TM,553,61,1,1.00227,0.11644,1.00549,1.10032,48,48,1.77,3.69,100
energy,0.1,uniform,1,NN,553,61,1,0.57989,0.19501,0.58157,1.85015,110,550,0.65,1.78,300
energy,0.1,structured,0,TM,553,61,18,0.96688,1.32193,0.90956,1.10032,50,50,1.81,3.63,100
energy,0.1,structured,0,NN,553,61,18,0.67093,1.08977,0.59375,1.85015,94,470,0.55,1.76,300
energy,0.1,structured,1,TM,553,61,10,1.00685,1.18609,0.99321,1.10032,43,43,1.56,3.62,100
energy,0.1,structured,1,NN,553,61,10,0.66902,1.16366,0.6202,1.85015,106,530,0.62,1.74,300
energy,0.2,uniform,0,TM,491,123,11,0.87812,1.02399,0.86588,1.10032,49,49,1.59,3.24,100
energy,0.2,uniform,0,NN,491,123,11,0.69675,0.71627,0.69523,1.85015,118,472,0.56,1.44,300
energy,0.2,uniform,1,TM,491,123,12,0.9531,0.85591,0.96086,1.10032,46,46,1.5,3.26,100
energy,0.2,uniform,1,NN,491,123,12,0.68197,1.05652,0.64036,1.85015,142,568,0.66,1.4,300
energy,0.2,structured,0,TM,491,123,38,1.16307,1.41919,1.06587,1.10032,49,49,1.61,3.28,100
energy,0.2,structured,0,NN,491,123,38,0.73641,0.9572,0.64793,1.85015,114,456,0.54,1.43,300
energy,0.2,structured,1,TM,491,123,26,0.92574,1.04248,0.90018,1.10032,52,52,1.69,3.25,100
energy,0.2,structured,1,NN,491,123,26,0.80579,1.24632,0.6824,1.85015,133,532,0.64,1.44,300
energy,0.3,uniform,0,TM,430,184,27,0.97849,1.2628,0.90663,1.10032,74,74,2.19,2.95,100
energy,0.3,uniform,0,NN,430,184,27,0.65444,0.68626,0.64747,1.85015,113,452,0.52,1.37,300
energy,0.3,uniform,1,TM,430,184,32,1.10885,1.1201,1.10588,1.10032,69,69,2.01,2.92,100
energy,0.3,uniform,1,NN,430,184,32,0.77206,0.75288,0.77702,1.85015,154,616,0.71,1.38,300
energy,0.3,structured,0,TM,430,184,52,1.07847,1.26475,0.96983,1.10032,79,79,2.27,2.88,100
energy,0.3,structured,0,NN,430,184,52,0.93396,1.23718,0.73258,1.85015,120,480,0.56,1.4,300
energy,0.3,structured,1,TM,430,184,42,1.03883,1.315,0.914,1.10032,52,52,1.48,2.84,100
energy,0.3,structured,1,NN,430,184,42,0.87057,1.13994,0.74485,1.85015,145,580,0.69,1.42,300
energy,0.4,uniform,0,TM,368,246,45,1.0231,1.0618,1.00669,1.10032,84,84,2.09,2.49,100
energy,0.4,uniform,0,NN,368,246,45,0.86227,0.9938,0.8017,1.85015,156,468,0.59,1.14,300
energy,0.4,uniform,1,TM,368,246,45,1.05535,1.02235,1.06868,1.10032,100,100,2.48,2.48,100
energy,0.4,uniform,1,NN,368,246,45,0.86102,0.93447,0.82881,1.85015,169,507,0.65,1.16,300
