dataset,p,mode,repeat,model,n_kept,n_removed,n_inhole,rmse_orig,rmse_inhole,rmse_surviving,target_rmse,epochs_to_target,iters_to_target,secs_to_target,secs_total,epochs_run
nyse,0.0,none,0,TM,42436,0,0,9988792.96878,,,,,,77.0,77.0,30
nyse,0.0,none,1,TM,42436,0,0,10343437.9603,,,,,,77.69,77.69,30
nyse,0.0,none,0,NN,42436,0,0,4834493.91614,,,,,,37.91,37.91,100
nyse,0.0,none,1,NN,42436,0,0,4913775.99427,,,,,,39.1,39.1,100
nyse,0.2,uniform,0,TM,33949,8487,601,10024475.68622,18621196.47703,9257605.7561,10166115.46454,20,20,42.04,210.2,100
nyse,0.2,uniform,0,NN,33949,8487,601,5591773.05376,12375429.3174,4893804.7365,4874134.9552,2,532,0.62,92.8,300
nyse,0.2,uniform,1,TM,33949,8487,580,9857044.5356,11946868.73867,9722467.98693,10166115.46454,12,12,25.0,208.32,100
nyse,0.2,uniform,1,NN,33949,8487,580,5344343.89945,4107488.81226,5407220.67167,4874134.9552,1,266,0.31,92.99,300
nyse,0.2,structured,0,TM,33949,8487,2120,11290534.03216,12963272.6826,10832614.42328,10166115.46454,,,,209.89,100
nyse,0.2,structured,0,NN,33949,8487,2120,5624349.39838,4203660.22285,5926198.73174,4874134.9552,1,266,0.31,91.9,300
nyse,0.2,structured,1,TM,33949,8487,2019,9496994.70045,2981577.01041,10454674.87715,10166115.46454,4,4,8.36,208.96,100
nyse,0.2,structured,1,NN,33949,8487,2019,6499789.5428,2348807.52843,7132979.18765,4874134.9552,3,798,0.92,92.32,300
nyse,0.4,uniform,0,TM,25462,16974,3341,9803714.63803,12097586.04321,8545286.70526,10166115.46454,14,14,22.92,163.71,100
nyse,0.4,uniform,0,NN,25462,16974,3341,5504476.83616,6094973.3012,5210672.44301,4874134.9552,3,597,0.68,68.25,300
nyse,0.4,uniform,1,TM,25462,16974,3393,10275868.14715,8878188.91938,10871048.23621,10166115.46454,58,58,94.13,162.29,100
nyse,0.4,uniform,1,NN,25462,16974,3393,5789082.38496,4280735.32603,6376074.58047,4874134.9552,2,398,0.45,67.94,300
nyse,0.4,structured,0,TM,25462,16974,4267,13156577.42226,15227161.92103,11556804.58955,10166115.46454,,,,162.55,100
nyse,0.4,structured,0,NN,25462,16974,4267,5790688.23036,6832548.09852,4968382.75671,4874134.9552,32,6368,7.46,69.91,300
nyse,0.4,structured,1,TM,25462,16974,4225,9230286.72998,3655800.30876,11520885.86055,10166115.46454,11,11,17.96,163.25,100
nyse,0.4,structured,1,NN,25462,16974,4225,5685122.0904,2650831.83588,7004115.73335,4874134.9552,1,199,0.23,68.45,300
nyse,0.6,uniform,0,TM,16974,25462,7181,10169272.30086,10559037.80011,9300253.10905,10166115.46454,28,28,32.69,116.75,100
nyse,0.6,uniform,0,NN,16974,25462,7181,5577740.01311,5455881.72201,5824681.20264,4874134.9552,3,399,0.45,45.0,300
nyse,0.6,uniform,1,TM,16974,25462,7332,10244600.96469,10431931.83623,9812655.36853,10166115.46454,40,40,46.27,115.67,100
nyse,0.6,uniform,1,NN,16974,25462,7332,5494733.22289,5286947.46463,5933211.04926,4874134.9552,4,532,0.6,45.21,300
nyse,0.6,structured,0,TM,16974,25462,6449,14278400.20725,14657994.53184,13669265.63377,10166115.46454,,,,115.25,100
nyse,0.6,structured,0,NN,16974,25462,6449,6547538.64387,6941412.07692,5885227.99872,4874134.9552,,,,45.14,300
nyse,0.6,structured,1,TM,16974,25462,6386,9252435.17055,4934556.99266,13349877.42485,10166115.46454,10,10,11.48,114.78,100
nyse,0.6,structured,1,NN,16974,25462,6386,5567752.34314,3221207.80098,7885399.22371,4874134.9552,4,532,0.6,45.24,300
