dataset,p,mode,repeat,model,n_kept,n_removed,n_inhole,rmse_orig,rmse_inhole,rmse_surviving,target_rmse,epochs_to_target,iters_to_target,secs_to_target,secs_total,epochs_run
california,0.0,none,0,TM,16512,0,0,0.64497,,,,,,35.87,35.87,30
california,0.0,none,1,TM,16512,0,0,0.61365,,,,,,35.74,35.74,30
california,0.0,none,2,TM,16512,0,0,0.62023,,,,,,35.84,35.84,30
california,0.0,none,0,NN,16512,0,0,0.51638,,,,,,14.3,14.3,100
california,0.0,none,1,NN,16512,0,0,0.51023,,,,,,15.49,15.49,100
california,0.0,none,2,NN,16512,0,0,0.52977,,,,,,15.33,15.33,100
california,0.1,uniform,0,TM,14861,1651,22,0.61383,0.60333,0.61389,0.62629,6,6,6.54,109.06,100
california,0.1,uniform,0,NN,14861,1651,22,0.50709,0.3469,0.50782,0.51879,70,8190,9.15,39.21,300
california,0.1,uniform,1,TM,14861,1651,34,0.62089,0.71229,0.62007,0.62629,8,8,8.73,109.14,100
california,0.1,uniform,1,NN,14861,1651,34,0.52573,0.70544,0.52397,0.51879,67,7839,8.65,38.74,300
california,0.1,uniform,2,TM,14861,1651,38,0.61651,0.71624,0.61551,0.62629,13,13,14.28,109.87,100
california,0.1,uniform,2,NN,14861,1651,38,0.52342,0.58382,0.52283,0.51879,162,18954,20.44,37.86,300
california,0.1,structured,0,TM,14861,1651,397,0.64911,0.86825,0.62126,0.62629,,,,108.55,100
california,0.1,structured,0,NN,14861,1651,397,0.57181,0.96095,0.51332,0.51879,,,,38.83,300
california,0.1,structured,1,TM,14861,1651,395,0.61104,0.60715,0.61145,0.62629,6,6,6.51,108.42,100
california,0.1,structured,1,NN,14861,1651,395,0.51803,0.56373,0.51296,0.51879,53,6201,6.91,39.1,300
california,0.1,structured,2,TM,14861,1651,454,0.60952,0.52851,0.6188,0.62629,7,7,7.61,108.73,100
california,0.1,structured,2,NN,14861,1651,454,0.51568,0.46046,0.52209,0.51879,97,11349,12.34,38.16,300
california,0.2,uniform,0,TM,13210,3302,224,0.612,0.58883,0.6133,0.62629,12,12,11.7,97.53,100
california,0.2,uniform,0,NN,13210,3302,224,0.52114,0.48833,0.52296,0.51879,161,16744,17.98,33.5,300
california,0.2,uniform,1,TM,13210,3302,206,0.62164,0.66587,0.61923,0.62629,14,14,13.65,97.53,100
california,0.2,uniform,1,NN,13210,3302,206,0.53055,0.59964,0.52667,0.51879,72,7488,8.07,33.64,300
california,0.2,uniform,2,TM,13210,3302,264,0.62925,0.62524,0.62952,0.62629,24,24,23.33,97.2,100
california,0.2,uniform,2,NN,13210,3302,264,0.5304,0.48133,0.53359,0.51879,,,,34.1,300
california,0.2,structured,0,TM,13210,3302,846,0.65394,0.72619,0.63398,0.62629,,,,98.24,100
california,0.2,structured,0,NN,13210,3302,846,0.53057,0.5401,0.52808,0.51879,,,,33.67,300
california,0.2,structured,1,TM,13210,3302,760,0.61292,0.59019,0.61793,0.62629,12,12,11.67,97.26,100
california,0.2,structured,1,NN,13210,3302,760,0.52516,0.53829,0.52215,0.51879,86,8944,9.55,33.33,300
california,0.2,structured,2,TM,13210,3302,869,0.61514,0.6031,0.61832,0.62629,5,5,4.86,97.27,100
california,0.2,structured,2,NN,13210,3302,869,0.54021,0.52659,0.54378,0.51879,,,,34.01,300
california,0.3,uniform,0,TM,11558,4954,666,0.61457,0.56967,0.62284,0.62629,8,8,6.86,85.73,100
california,0.3,uniform,0,NN,11558,4954,666,0.53131,0.49421,0.53816,0.51879,,,,30.17,300
california,0.3,uniform,1,TM,11558,4954,658,0.61632,0.60008,0.61935,0.62629,10,10,8.61,86.07,100
california,0.3,uniform,1,NN,11558,4954,658,0.52758,0.52762,0.52757,0.51879,,,,29.68,300
california,0.3,uniform,2,TM,11558,4954,757,0.62657,0.61096,0.63002,0.62629,15,15,12.92,86.14,100
california,0.3,uniform,2,NN,11558,4954,757,0.52071,0.49699,0.52588,0.51879,299,27209,29.4,29.5,300
california,0.3,structured,0,TM,11558,4954,1267,0.64785,0.66445,0.64037,0.62629,,,,86.44,100
california,0.3,structured,0,NN,11558,4954,1267,0.62521,0.77035,0.5488,0.51879,,,,29.42,300
california,0.3,structured,1,TM,11558,4954,1176,0.61419,0.63672,0.60499,0.62629,8,8,6.83,85.39,100
california,0.3,structured,1,NN,11558,4954,1176,0.52349,0.56558,0.50574,0.51879,,,,29.71,300
california,0.3,structured,2,TM,11558,4954,1252,0.61589,0.60436,0.62084,0.62629,5,5,4.34,86.76,100
california,0.3,structured,2,NN,11558,4954,1252,0.54429,0.54965,0.54194,0.51879,,,,29.84,300
california,0.4,uniform,0,TM,9907,6605,1309,0.61447,0.5792,0.63018,0.62629,10,10,7.46,74.61,100
california,0.4,uniform,0,NN,9907,6605,1309,0.53479,0.51987,0.54158,0.51879,,,,24.54,300
california,0.4,uniform,1,TM,9907,6605,1335,0.6206,0.60207,0.62926,0.62629,9,9,6.71,74.6,100
california,0.4,uniform,1,NN,9907,6605,1335,0.53376,0.51762,0.5413,0.51879,,,,25.23,300
california,0.4,uniform,2,TM,9907,6605,1387,0.61406,0.61631,0.61293,0.62629,7,7,5.21,74.36,100
california,0.4,uniform,2,NN,9907,6605,1387,0.52584,0.52438,0.52658,0.51879,,,,25.13,300
california,0.4,structured,0,TM,9907,6605,1687,0.646,0.64502,0.64667,0.62629,,,,75.44,100
california,0.4,structured,0,NN,9907,6605,1687,0.62073,0.68987,0.56805,0.51879,,,,25.03,300
california,0.4,structured,1,TM,9907,6605,1637,0.62104,0.60126,0.6337,0.62629,14,14,10.46,74.71,100
california,0.4,structured,1,NN,9907,6605,1637,0.53827,0.54726,0.53229,0.51879,,,,24.85,300
california,0.4,structured,2,TM,9907,6605,1702,0.61376,0.60287,0.62129,0.62629,5,5,3.76,75.16,100
california,0.4,structured,2,NN,9907,6605,1702,0.5482,0.54791,0.54841,0.51879,,,,25.31,300
california,0.5,uniform,0,TM,8256,8256,2055,0.61986,0.61072,0.62879,0.62629,14,14,8.87,63.34,100
california,0.5,uniform,0,NN,8256,8256,2055,0.55318,0.54969,0.55663,0.51879,,,,20.69,300
california,0.5,uniform,1,TM,8256,8256,2089,0.6183,0.62205,0.61443,0.62629,13,13,8.22,63.2,100
california,0.5,uniform,1,NN,8256,8256,2089,0.5307,0.53619,0.52501,0.51879,,,,20.94,300
california,0.5,uniform,2,TM,8256,8256,2112,0.61981,0.61278,0.62709,0.62629,10,10,6.35,63.54,100
california,0.5,uniform,2,NN,8256,8256,2112,0.53827,0.54452,0.53164,0.51879,,,,20.9,300
california,0.5,structured,0,TM,8256,8256,2158,0.65166,0.64672,0.65703,0.62629,,,,64.35,100
california,0.5,structured,0,NN,8256,8256,2158,0.59095,0.58808,0.59408,0.51879,,,,20.5,300
california,0.5,structured,1,TM,8256,8256,2099,0.61675,0.6177,0.61576,0.62629,20,20,12.72,63.61,100
california,0.5,structured,1,NN,8256,8256,2099,0.54219,0.55203,0.53183,0.51879,,,,20.41,300
california,0.5,structured,2,TM,8256,8256,2161,0.61555,0.60412,0.62787,0.62629,12,12,7.76,64.66,100
california,0.5,structured,2,NN,8256,8256,2161,0.5621,0.55138,0.57366,0.51879,,,,20.86,300
california,0.6,uniform,0,TM,6605,9907,2833,0.62095,0.62371,0.61487,0.62629,25,25,13.2,52.8,100
california,0.6,uniform,0,NN,6605,9907,2833,0.56062,0.56537,0.5501,0.51879,,,,16.18,300
california,0.6,uniform,1,TM,6605,9907,2836,0.6206,0.62734,0.60554,0.62629,20,20,10.53,52.67,100
california,0.6,uniform,1,NN,6605,9907,2836,0.54059,0.54564,0.52933,0.51879,,,,16.66,300
california,0.6,uniform,2,TM,6605,9907,2866,0.62446,0.62629,0.62029,0.62629,30,30,15.86,52.86,100
california,0.6,uniform,2,NN,6605,9907,2866,0.54346,0.54887,0.53097,0.51879,,,,16.38,300
california,0.6,structured,0,TM,6605,9907,2609,0.64765,0.64764,0.64765,0.62629,,,,52.64,100
california,0.6,structured,0,NN,6605,9907,2609,0.60755,0.61554,0.59356,0.51879,,,,16.33,300
california,0.6,structured,1,TM,6605,9907,2513,0.66836,0.69916,0.61739,0.62629,,,,52.49,100
california,0.6,structured,1,NN,6605,9907,2513,0.67756,0.75806,0.52845,0.51879,,,,15.99,300
california,0.6,structured,2,TM,6605,9907,2605,0.64574,0.6604,0.61985,0.62629,,,,52.94,100
california,0.6,structured,2,NN,6605,9907,2605,0.5847,0.58823,0.5786,0.51879,,,,16.28,300
