dataset,p,mode,repeat,model,n_kept,n_removed,n_inhole,rmse_orig,rmse_inhole,rmse_surviving,target_rmse,epochs_to_target,iters_to_target,secs_to_target,secs_total,epochs_run
ccpp,0.0,none,0,TM,7654,0,0,4.76945,,,,,,16.12,16.12,30
ccpp,0.0,none,1,TM,7654,0,0,5.00085,,,,,,19.61,19.61,30
ccpp,0.0,none,2,TM,7654,0,0,6.19127,,,,,,16.01,16.01,30
ccpp,0.0,none,0,NN,7654,0,0,3.75335,,,,,,11.27,11.27,100
ccpp,0.0,none,1,NN,7654,0,0,3.78518,,,,,,8.39,8.39,100
ccpp,0.0,none,2,NN,7654,0,0,3.81755,,,,,,6.33,6.33,100
ccpp,0.1,uniform,0,TM,6889,765,23,5.29501,5.12724,5.29702,5.32053,3,3,1.49,49.51,100
ccpp,0.1,uniform,0,NN,6889,765,23,3.94752,4.18783,3.94451,3.78536,115,6210,9.4,24.51,300
ccpp,0.1,uniform,1,TM,6889,765,16,5.10695,5.06875,5.10727,5.32053,2,2,0.98,48.94,100
ccpp,0.1,uniform,1,NN,6889,765,16,3.69714,4.02588,3.69424,3.78536,98,5292,6.97,21.34,300
ccpp,0.1,uniform,2,TM,6889,765,22,4.7047,4.34871,4.70868,5.32053,2,2,0.94,46.79,100
ccpp,0.1,uniform,2,NN,6889,765,22,3.75056,2.67363,3.76126,3.78536,110,5940,7.19,19.62,300
ccpp,0.1,structured,0,TM,6889,765,188,5.46372,4.04288,5.59674,5.32053,2,2,0.94,46.76,100
ccpp,0.1,structured,0,NN,6889,765,188,3.75819,3.93979,3.73788,3.78536,95,5130,5.87,18.55,300
ccpp,0.1,structured,1,TM,6889,765,183,4.68576,4.3812,4.71681,5.32053,3,3,1.29,43.12,100
ccpp,0.1,structured,1,NN,6889,765,183,3.75269,3.62251,3.76619,3.78536,97,5238,5.95,18.39,300
ccpp,0.1,structured,2,TM,6889,765,168,5.78547,5.49056,5.81305,5.32053,3,3,1.31,43.75,100
ccpp,0.1,structured,2,NN,6889,765,168,3.83102,4.98185,3.70147,3.78536,,,,22.55,300
ccpp,0.2,uniform,0,TM,6123,1531,110,4.7385,4.80048,4.73469,5.32053,3,3,1.59,53.04,100
ccpp,0.2,uniform,0,NN,6123,1531,110,3.75972,3.59934,3.76928,3.78536,95,4560,5.55,17.54,300
ccpp,0.2,uniform,1,TM,6123,1531,112,4.72925,4.7365,4.7288,5.32053,2,2,0.79,39.57,100
ccpp,0.2,uniform,1,NN,6123,1531,112,3.76219,3.79857,3.75992,3.78536,146,7008,8.12,16.68,300
ccpp,0.2,uniform,2,TM,6123,1531,132,5.39682,5.87074,5.36005,5.32053,2,2,0.78,38.85,100
ccpp,0.2,uniform,2,NN,6123,1531,132,3.79682,3.5415,3.81505,3.78536,147,7056,7.74,15.8,300
ccpp,0.2,structured,0,TM,6123,1531,393,5.2098,4.89116,5.28901,5.32053,3,3,1.17,39.07,100
ccpp,0.2,structured,0,NN,6123,1531,393,3.86673,4.19954,3.77597,3.78536,,,,15.98,300
ccpp,0.2,structured,1,TM,6123,1531,384,4.62129,4.47718,4.65675,5.32053,3,3,1.16,38.68,100
ccpp,0.2,structured,1,NN,6123,1531,384,3.90714,3.75384,3.94468,3.78536,,,,16.17,300
ccpp,0.2,structured,2,TM,6123,1531,393,5.04255,5.29672,4.97477,5.32053,3,3,1.21,40.39,100
ccpp,0.2,structured,2,NN,6123,1531,393,4.03054,5.18272,3.67457,3.78536,,,,18.73,300
ccpp,0.3,uniform,0,TM,5358,2296,294,5.289,5.75107,5.20074,5.32053,2,2,0.71,35.52,100
ccpp,0.3,uniform,0,NN,5358,2296,294,3.78953,3.97027,3.7558,3.78536,107,4494,4.73,13.27,300
