dataset,model,mode,p,repeat,target_ext,target_def,e2t_ext,e2t_def,rmse_final,censored_ext,censored_def
california,TM,none,0.0,0,0.604472,0.6085,,,0.610378,0,0
california,TM,none,0.0,1,0.607411,0.629918,,,0.611415,0,0
california,TM,uniform,0.1,0,0.604472,0.6085,,,0.611671,1,1
california,TM,uniform,0.1,1,0.607411,0.629918,,6,0.610691,1,0
california,TM,structured,0.1,0,0.604472,0.6085,,,0.652342,1,1
california,TM,structured,0.1,1,0.607411,0.629918,32,3,0.609406,0,0
california,TM,uniform,0.2,0,0.604472,0.6085,,,0.613836,1,1
california,TM,uniform,0.2,1,0.607411,0.629918,,9,0.61768,1,0
california,TM,structured,0.2,0,0.604472,0.6085,,,0.652471,1,1
california,TM,structured,0.2,1,0.607411,0.629918,,8,0.615944,1,0
california,TM,uniform,0.3,0,0.604472,0.6085,,,0.617722,1,1
california,TM,uniform,0.3,1,0.607411,0.629918,,10,0.621416,1,0
california,TM,structured,0.3,0,0.604472,0.6085,,,0.64965,1,1
california,TM,structured,0.3,1,0.607411,0.629918,,5,0.619082,1,0
california,TM,uniform,0.4,0,0.604472,0.6085,,,0.617118,1,1
california,TM,uniform,0.4,1,0.607411,0.629918,,7,0.608869,1,0
california,TM,structured,0.4,0,0.604472,0.6085,,,0.641634,1,1
california,TM,structured,0.4,1,0.607411,0.629918,,7,0.61884,1,0
california,TM,uniform,0.5,0,0.604472,0.6085,,,0.623433,1,1
california,TM,uniform,0.5,1,0.607411,0.629918,,9,0.608371,1,0
california,TM,structured,0.5,0,0.604472,0.6085,,,0.647394,1,1
california,TM,structured,0.5,1,0.607411,0.629918,,12,0.625612,1,0
california,TM,uniform,0.6,0,0.604472,0.6085,,,0.634551,1,1
california,TM,uniform,0.6,1,0.607411,0.629918,,9,0.624208,1,0
california,TM,structured,0.6,0,0.604472,0.6085,,,0.647593,1,1
california,TM,structured,0.6,1,0.607411,0.629918,,,0.655306,1,1
california,NN,none,0.0,0,0.505352,0.516377,,,0.515178,0,0
california,NN,none,0.0,1,0.502658,0.510229,,,0.519754,0,0
california,NN,uniform,0.1,0,0.505352,0.516377,150,83,0.507095,0,0
california,NN,uniform,0.1,1,0.502658,0.510229,,,0.525725,1,1
california,NN,structured,0.1,0,0.505352,0.516377,,,0.57181,1,1
california,NN,structured,0.1,1,0.502658,0.510229,,152,0.518034,1,0
california,NN,uniform,0.2,0,0.505352,0.516377,,182,0.521137,1,0
california,NN,uniform,0.2,1,0.502658,0.510229,,,0.530551,1,1
california,NN,structured,0.2,0,0.505352,0.516377,,,0.530567,1,1
california,NN,structured,0.2,1,0.502658,0.510229,,,0.525161,1,1
california,NN,uniform,0.3,0,0.505352,0.516377,,,0.531315,1,1
california,NN,uniform,0.3,1,0.502658,0.510229,,,0.527576,1,1
california,NN,structured,0.3,0,0.505352,0.516377,,,0.625206,1,1
california,NN,structured,0.3,1,0.502658,0.510229,,,0.523488,1,1
california,NN,uniform,0.4,0,0.505352,0.516377,,,0.53479,1,1
california,NN,uniform,0.4,1,0.502658,0.510229,,,0.533756,1,1
california,NN,structured,0.4,0,0.505352,0.516377,,,0.620731,1,1
california,NN,structured,0.4,1,0.502658,0.510229,,,0.538274,1,1
california,NN,uniform,0.5,0,0.505352,0.516377,,,0.553185,1,1
california,NN,uniform,0.5,1,0.502658,0.510229,,,0.530698,1,1
california,NN,structured,0.5,0,0.505352,0.516377,,,0.590951,1,1
california,NN,structured,0.5,1,0.502658,0.510229,,,0.542193,1,1
california,NN,uniform,0.6,0,0.505352,0.516377,,,0.560622,1,1
california,NN,uniform,0.6,1,0.502658,0.510229,,,0.540589,1,1
california,NN,structured,0.6,0,0.505352,0.516377,,,0.607547,1,1
california,NN,structured,0.6,1,0.502658,0.510229,,,0.677561,1,1
