dataset,model,mode,p,repeat,target_ext,target_def,e2t_ext,e2t_def,rmse_final,censored_ext,censored_def
ccpp,TM,none,0.0,0,4.556886,5.398631,,,5.204867,0,0
ccpp,TM,none,0.0,1,4.513885,5.434239,,,4.754194,0,0
ccpp,TM,uniform,0.1,0,4.556886,5.398631,42,2,4.995409,0,0
ccpp,TM,uniform,0.1,1,4.513885,5.434239,81,2,4.961179,0,0
ccpp,TM,structured,0.1,0,4.556886,5.398631,31,2,4.49583,0,0
ccpp,TM,structured,0.1,1,4.513885,5.434239,,3,5.132502,1,0
ccpp,TM,uniform,0.2,0,4.556886,5.398631,54,2,5.110575,0,0
ccpp,TM,uniform,0.2,1,4.513885,5.434239,81,2,4.601998,0,0
ccpp,TM,structured,0.2,0,4.556886,5.398631,,2,4.736793,1,0
ccpp,TM,structured,0.2,1,4.513885,5.434239,,2,5.14912,1,0
ccpp,TM,uniform,0.3,0,4.556886,5.398631,76,2,4.642106,0,0
ccpp,TM,uniform,0.3,1,4.513885,5.434239,,2,5.13956,1,0
ccpp,TM,structured,0.3,0,4.556886,5.398631,95,2,5.186132,0,0
ccpp,TM,structured,0.3,1,4.513885,5.434239,,4,4.726997,1,0
ccpp,TM,uniform,0.4,0,4.556886,5.398631,86,2,5.134572,0,0
ccpp,TM,uniform,0.4,1,4.513885,5.434239,32,2,5.255785,0,0
ccpp,TM,structured,0.4,0,4.556886,5.398631,96,2,4.845972,0,0
ccpp,TM,structured,0.4,1,4.513885,5.434239,,3,5.054761,1,0
ccpp,TM,uniform,0.5,0,4.556886,5.398631,71,2,4.965695,0,0
ccpp,TM,uniform,0.5,1,4.513885,5.434239,,2,4.854711,1,0
ccpp,TM,structured,0.5,0,4.556886,5.398631,,3,5.324035,1,0
ccpp,TM,structured,0.5,1,4.513885,5.434239,,3,4.990581,1,0
ccpp,TM,uniform,0.6,0,4.556886,5.398631,,3,5.053538,1,0
ccpp,TM,uniform,0.6,1,4.513885,5.434239,,3,5.296002,1,0
ccpp,TM,structured,0.6,0,4.556886,5.398631,,3,5.25021,1,0
ccpp,TM,structured,0.6,1,4.513885,5.434239,,6,5.16905,1,0
ccpp,NN,none,0.0,0,3.652956,3.753347,,,3.677179,0,0
ccpp,NN,none,0.0,1,3.666,3.78518,,,3.683825,0,0
ccpp,NN,uniform,0.1,0,3.652956,3.753347,,123,3.947519,1,0
ccpp,NN,uniform,0.1,1,3.666,3.78518,,98,3.69714,1,0
ccpp,NN,structured,0.1,0,3.652956,3.753347,,179,3.758191,1,0
ccpp,NN,structured,0.1,1,3.666,3.78518,,97,3.752691,1,0
ccpp,NN,uniform,0.2,0,3.652956,3.753347,,152,3.759721,1,0
ccpp,NN,uniform,0.2,1,3.666,3.78518,,148,3.762191,1,0
ccpp,NN,structured,0.2,0,3.652956,3.753347,,,3.866726,1,1
ccpp,NN,structured,0.2,1,3.666,3.78518,,,3.907141,1,1
ccpp,NN,uniform,0.3,0,3.652956,3.753347,,170,3.789529,1,0
ccpp,NN,uniform,0.3,1,3.666,3.78518,,163,3.756011,1,0
ccpp,NN,structured,0.3,0,3.652956,3.753347,,,4.146446,1,1
ccpp,NN,structured,0.3,1,3.666,3.78518,,,4.044573,1,1
ccpp,NN,uniform,0.4,0,3.652956,3.753347,,,3.861233,1,1
ccpp,NN,uniform,0.4,1,3.666,3.78518,,231,3.766843,1,0
ccpp,NN,structured,0.4,0,3.652956,3.753347,,,4.129205,1,1
ccpp,NN,structured,0.4,1,3.666,3.78518,,,4.049191,1,1
ccpp,NN,uniform,0.5,0,3.652956,3.753347,,,3.869166,1,1
ccpp,NN,uniform,0.5,1,3.666,3.78518,,,3.81824,1,1
ccpp,NN,structured,0.5,0,3.652956,3.753347,,,4.129206,1,1
ccpp,NN,structured,0.5,1,3.666,3.78518,,,4.197466,1,1
ccpp,NN,uniform,0.6,0,3.652956,3.753347,,,3.889122,1,1
ccpp,NN,uniform,0.6,1,3.666,3.78518,,,3.933446,1,1
ccpp,NN,structured,0.6,0,3.652956,3.753347,,,4.320986,1,1
ccpp,NN,structured,0.6,1,3.666,3.78518,,,4.490356,1,1
