dataset,p,mode,repeat,model,n_kept,n_removed,n_inhole,rmse_orig,rmse_inhole,rmse_surviving,target_rmse,epochs_to_target,iters_to_target,secs_to_target,secs_total,epochs_run
nyse,0.0,none,0,TM,42436,0,0,10395475.34279,,,,,,82.15,82.15,30
nyse,0.0,none,1,TM,42436,0,0,9816886.44683,,,,,,81.42,81.42,30
nyse,0.0,none,2,TM,42436,0,0,10028224.77224,,,,,,81.68,81.68,30
nyse,0.0,none,0,NN,42436,0,0,4834493.91614,,,,,,38.83,38.83,100
nyse,0.0,none,1,NN,42436,0,0,4913775.99427,,,,,,39.43,39.43,100
nyse,0.0,none,2,NN,42436,0,0,4898896.96618,,,,,,40.02,40.02,100
nyse,0.1,uniform,0,TM,38192,4244,98,10169466.3187,7868226.67392,10188474.90004,10080195.52062,25,25,62.55,250.19,100
nyse,0.1,uniform,0,NN,38192,4244,98,5512197.89177,3265339.50056,5528850.36735,4882388.95886,1,299,0.36,106.73,300
nyse,0.1,uniform,1,TM,38192,4244,80,9968364.71746,9276782.48694,9973435.35213,10080195.52062,28,28,70.29,251.04,100
nyse,0.1,uniform,1,NN,38192,4244,80,5708715.4592,2353722.73148,5726686.29062,4882388.95886,2,598,0.73,108.77,300
nyse,0.1,uniform,2,TM,38192,4244,92,9956898.50278,12315856.0074,9933793.88398,10080195.52062,28,28,70.3,251.09,100
nyse,0.1,uniform,2,NN,38192,4244,92,5585810.12496,9112454.87491,5545076.53498,4882388.95886,3,897,1.07,107.37,300
nyse,0.1,structured,0,TM,38192,4244,1054,11485400.22139,7574415.3641,11837916.34956,10080195.52062,16,16,39.55,247.18,100
nyse,0.1,structured,0,NN,38192,4244,1054,5654562.262,2435405.35064,5903094.99046,4882388.95886,2,598,0.71,106.75,300
nyse,0.1,structured,1,TM,38192,4244,1012,9919531.36296,2833003.40652,10388730.31895,10080195.52062,5,5,12.51,250.22,100
nyse,0.1,structured,1,NN,38192,4244,1012,5236963.22907,1386470.78964,5487698.62576,4882388.95886,1,299,0.35,106.14,300
nyse,0.1,structured,2,TM,38192,4244,1029,11207538.6806,18249891.88604,10165078.45331,10080195.52062,,,,247.95,100
nyse,0.1,structured,2,NN,38192,4244,1029,5760249.37878,7719643.35679,5508518.60974,4882388.95886,1,299,0.36,106.66,300
nyse,0.2,uniform,0,TM,33949,8487,601,9953787.20238,18710686.39215,9165458.48114,10080195.52062,26,26,58.12,223.53,100
nyse,0.2,uniform,0,NN,33949,8487,601,5591773.05376,12375429.3174,4893804.7365,4882388.95886,2,532,0.63,94.46,300
nyse,0.2,uniform,1,TM,33949,8487,580,9973311.85288,11970235.44404,9845456.56919,10080195.52062,18,18,39.93,221.84,100
nyse,0.2,uniform,1,NN,33949,8487,580,5344343.89945,4107488.81226,5407220.67167,4882388.95886,1,266,0.31,93.48,300
nyse,0.2,uniform,2,TM,33949,8487,600,10114762.80628,10358768.58401,10099949.82515,10080195.52062,40,40,89.0,222.51,100
